,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5," Assinale a alternativa que contém a sentença logicamente equivalente a “Carlos não é alto ou Rodrigo é forte"". ","Se Rodrigo é forte, então Carlos é alto.","Se Carlos não é alto, então Rodrigo não é forte","Se Carlos é alto, então Rodrigo é forte.","Se Carlos não é alto, então Rodrigo é forte.","Se Carlos é alto, então Rodrigo não é forte.",/questoes-de-concursos/questoes/c5b4ad82-6f
6, Determine a negação da proposição “Lívia é estudiosa e Marcos decora ,Lívia não é estudiosa ou Marcos decora. ,Lívia não é estudiosa e Marcos decora. ,Lívia é estudiosa ou Marcos decora ,Marcos não decora e Lívia é estudiosa. , Lívia não é estudiosa ou Marcos não decora. ,/questoes-de-concursos/questoes/fc4e24b0-6c
7," Assinale a alternativa que contém a sentença logicamente equivalente a “Carlos não é alto ou Rodrigo é forte"". ","Se Carlos é alto, então Rodrigo não é forte ","Se Carlos não é alto, então Rodrigo é forte. ","Se Rodrigo é forte, então Carlos é alto. ","Se Carlos é alto, então Rodrigo é forte. ","Se Carlos não é alto, então Rodrigo não é forte. ",/questoes-de-concursos/questoes/f9e514eb-6c
8, Assinale a alternativa que apresenta a negação da seguinte proposição: “Cachorros não tomam cerveja e gatos comem carne”. , Cachorros não tomam cerveja e gatos não comem carne. ,Cachorros tomam cerveja ou gatos comem carne. ,Cachorros tomam cerveja ou gatos não comem carne. ,Cachorros não tomam cerveja ou gatos comem carne. ,Cachorros não comem carne e gatos tomam cerveja. ,/questoes-de-concursos/questoes/f4cb5c28-64
9, Todos os mecânicos são inteligentes e resolvem problemas. Uma afirmação que representa a negação lógica da afirmação anterior é: ,nenhum mecânico é inteligente e resolve problemas. ,"se um mecânico não é inteligente, então ele não resolve qualquer problema. ",algum mecânico não é inteligente ou não resolve problemas. ,todos os mecânicos não são inteligentes ou ninguém resolve problemas. ,"se um mecânico resolve problemas, então ele é inteligente. ",/questoes-de-concursos/questoes/1504ccc2-54
10," A proposição “se Catarina é turista, então Paulo é estudante” é logicamente equivalente a ",Catarina não é turista ou Paulo não é estudante. ,Catarina é turista e Paulo não é estudante. ,"Se Paulo não é estudante, então Catarina não é turista. ",Catarina não é turista e Paulo não é estudante. ,"Se Catarina não é turista, então Paulo não é estudante. ",/questoes-de-concursos/questoes/8c61a2ab-54
11,error, todos os contratados são mulheres ou pessoas sem experiência ,todos os contratados são mulheres sem experiência. , todos os contratados são homens sem experiência ,há pelo menos um contratado que é homem sem experiência. ,há pelo menos um contratado que é mulher sem experiência ,/questoes-de-concursos/questoes/778ca733-53
12,error,se uma pessoa não tem problemas então tem dinheiro ,se uma pessoa não tem dinheiro então tem problemas ,se uma pessoa tem problemas então não tem dinheiro. ,uma pessoa tem dinheiro ou tem problemas. , uma pessoa não tem dinheiro ou tem problemas. ,/questoes-de-concursos/questoes/73f93f09-53
13,none,none,none,none,none,none,/questoes-de-concursos/questoes/f95ee18d-53
14,error,nenhum funcionário do setor tem 32 anos. , há apenas um funcionário do setor com 32 anos. ,"todos os funcionários do setor têm, no mínimo, 33 anos. ","todos os funcionários do setor têm, no máximo, 32 anos. ","todos os funcionários do setor têm, no máximo, 31 anos. ",/questoes-de-concursos/questoes/aad2c5f1-51
15," Certo dia, João afirmou:Se eu tivesse ido ao banco ontem, eu não precisaria ir ao banco amanhã.No dia seguinte, não tendo ido ao banco ainda, João diria algo logicamente equivalente ao que dissera no dia anterior, se tivesse dito: ","Como não fui ao banco hoje, fui ao banco anteontem. ","Como não fui ao banco ontem, irei ao banco hoje. ","Como não fui ao banco hoje, fui ao banco ontem ","Como preciso ir ao banco hoje, não fui ao banco anteontem ","Como preciso ir ao banco hoje, eu fui ao banco ontem. ",/questoes-de-concursos/questoes/a878cab1-51
16, A negação da proposição “Brasília é a Capital Federal e os Territórios Federais integram a União” é: ,Brasília não é a Capital Federal e os Territórios Federais não integram a União. ,Brasília não é a Capital Federal ou os Territórios Federais não integram a União. ,Brasília não é a Capital Federal ou os Territórios Federais integram a União. ,Brasília é a Capital Federal ou os Territórios Federais não integram a União. ,Brasília não é a Capital Federal e os Territórios Federais integram a União. ,/questoes-de-concursos/questoes/cf78bc57-4f
17," Assinale a opção equivalente à negação da proposição “Comi feijoada com couve, mas não bebi vinho”. ",Não comi nem feijoada nem couve. ,"Comi feijoada, mas não bebi vinho. ","Não comi nem feijoada nem couve, mas bebi vinho. ",Não comi feijoada ou não comi couve ou bebi vinho. ,Comi couve e bebi vinho. ,/questoes-de-concursos/questoes/1433d6f8-4f
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/ede3feaf-4d
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/ec7e7697-4d
20,error," Se você não tem menos de 16 anos e não tem menos de 50 kg, então você pode doar sangue. ","Se você não pode doar sangue, então você tem menos de 16 anos ou menos de 50 kg. ","Se você pode doar sangue, então você não tem menos de 16 anos e não tem menos de 50 kg. ","Se você pode doar sangue, então você não tem menos de 16 anos ou não tem menos de 50 kg ","Se você tem menos de 16 anos e menos de 50 kg, então você não pode doar sangue. ",/questoes-de-concursos/questoes/e4366b7d-4b
21,error,"Quem não doa vida, não doa sangue. ","Quem não doa sangue, não doa vida. ", Alguém não doa sangue e doa vida ,Alguém não doa sangue e não doa vida. ,Alguém doa sangue e não doa vida. ,/questoes-de-concursos/questoes/df55db21-4b
22,none,none,none,none,none,none,/questoes-de-concursos/questoes/ef312fb4-4a
23,error,algum medicamento que está na gaveta não é antibiótico. ,todos os medicamentos que estão na gaveta não são antibióticos. ,dois dos medicamentos que estão na gaveta não são antibióticos. , algum medicamento que está na gaveta é analgésico ,todos os medicamentos que estão na gaveta são anti- inflamatórios. ,/questoes-de-concursos/questoes/f5f3822d-4a
24,none,none,none,none,none,none,/questoes-de-concursos/questoes/57fe6354-3f
