,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/57f1dbd3-ac
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/01417eff-ac
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/013df36c-ac
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/0139d034-ac
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/01360f4f-ac
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/0132b4c7-ac
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/012f3b0a-ac
12,none,none,none,none,none,none,/questoes-de-concursos/questoes/012a9ab4-ac
13," Considere como verdadeira a seguinte sentença: “Carlos escreve poemas e ensina Gramática”. A negação dessa sentença, por definição, será dada por ",“Carlos não escreve poemas ou não ensina Gramática”.,“Carlos escreve poemas ou não ensina Gramática”.,“Carlos não escreve poemas ou ensina Gramática”.,“Carlos escreve poemas ou ensina Gramática”.,"“Carlos não escreve poemas se, e somente se, ensina Gramática”.",/questoes-de-concursos/questoes/6400b740-ab
14,error,Somente as afirmativas I e II estão corretas.,Somente as afirmativas II e III estão corretas.,Somente as afirmativas I e III estão corretas. ,Somente a afirmativa I está correta.,Todas as afirmativas estão corretas.,/questoes-de-concursos/questoes/dceadcf7-aa
15," Alguns selvagens são caçadores. Todo felino é caçador. Algumas aves são fracas. Nenhum caçador é fraco. A partir das proposições acima, é correto, pela lógica, inferir que  ",algum felino é não selvagem.,algum caçador é fraco. ,algum selvagem não é fraco. ,algum fraco é felino. , alguma ave é caçadora. ,/questoes-de-concursos/questoes/8fba625a-aa
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/5ce0e628-aa
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/5cdd1f11-aa
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/5cd949c9-aa
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/5cd4f591-aa
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/5cd22068-aa
21,none,none,none,none,none,none,/questoes-de-concursos/questoes/5aee808f-a9
22,none,none,none,none,none,none,/questoes-de-concursos/questoes/5adf7c7e-a9
23," Considere a afirmação: Se o tapete é maior que a sala, então ele não cabe no quarto. Uma afirmação logicamente equivalente é ","Se o tapete não cabe no quarto, então ele é maior que a sala.",O tapete é maior que a sala e ele não cabe no quarto.,"Se o tapete é menor que a sala, então ele cabe no quarto. ",O tapete é menor que a sala e ele cabe no quarto.,"Se o tapete cabe no quarto, então ele não é maior que a sala.",/questoes-de-concursos/questoes/652d4830-a9
24," Considere as proposições:   p: Compro um computador. q: Compro uma tablet.   Dessa forma, como a sentença ~ ( p v q ) pode ser escrita? ",Somente compro um tablet se compro um computador.,"Se compro um computador, então não compro um tablet.",Compro um computador e um tablet.,Não compro um computador e não compro um tablet.,"Se não compro um tablet, então compro um computador",/questoes-de-concursos/questoes/350e745a-a6
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/22f089b5-a6
26,none,none,none,none,none,none,/questoes-de-concursos/questoes/22e0a03d-a6
27,none,none,none,none,none,none,/questoes-de-concursos/questoes/e63fa152-a6
28,none,none,none,none,none,none,/questoes-de-concursos/questoes/e631a7fe-a6
29, Qual a negação da proposição simples “Pedro não é um mau pintor”? ,Pedro é um bom pintor.,Pedro é um mau pintor.,Pedro não sabe pintar.,Pedro não é um bom pintor.,Pedro tenta ser bom pintor.,/questoes-de-concursos/questoes/04eb67a4-a5
30," Quatro meninos, Conrado, Ruan, Arthur e Vicente, gostam de nadar, patinar, caminhar e correr. Porém, não se sabe quem gosta de quê. Levando-se em consideração que cada um gosta de apenas uma atividade e que ninguém gosta da mesma, assinale a alternativa correta a partir das seguintes informações: Ruan não gosta de nadar, Conrado não gosta de patinar, Arthur gosta de patinação e Vicente não gosta de patinar. "," Ruan gosta de patinação, Conrado gosta de natação e Vicente gosta de corrida. ","Vicente gosta de corrida, Ruan gosta de natação e Conrado gosta de caminhar.","Conrado gosta de natação, Ruan gosta de corrida e Vicente gosta de caminhar.","Conrado gosta de corrida, Ruan gosta de patinação e Vicente gosta de caminhar. ","Conrado gosta de patinação, Vicente gosta de natação e Ruan gosta de caminhar.",/questoes-de-concursos/questoes/04d9b482-a5
31,error,Carlos e Patrícia disseram a verdade.,Carlos disse a verdade e Pedro não mentiu.,Carlos não disse a verdade e Pedro não mentiu.,Camila e Pedro mentiram.,Patrícia disse a verdade e Pedro não mentiu.,/questoes-de-concursos/questoes/741371fe-f3
32,none,none,none,none,none,none,/questoes-de-concursos/questoes/da1be6dc-f7
33," Vou ao cinema ou vou à academia. Vou à igreja ou não vou ao cinema. Vou à boate ou não vou a academia. Ora, não vou à boate, assim: ",Vou a igreja e vou ao cinema., Vou à academia e vou à igreja.,Vou à academia e não vou à igreja, Não vou à boate e não vou à igreja.,Não vou a igreja e vou ao cinema.,/questoes-de-concursos/questoes/4bb58e3b-17
34, Dizer que “Vitor é Deputado Estadual ou Hugo não é técnico em Tecnologia da Informação” é logicamente equivalente a dizer que:  ,"Vitor é Deputado Estadual se, e somente se, Hugo não é técnico em Tecnologia da Informação.  ",Vitor não é Deputado Estadual e Hugo é técnico em Tecnologia da Informação.  ,"Se Vitor é Deputado Estadual, então Hugo não é técnico em Tecnologia da Informação.  ","Se Vitor não é Deputado Estadual, então Hugo é técnico em Tecnologia da Informação.  ","Se Hugo é técnico em Tecnologia da Informação, então Vitor é Deputado Estadual.  ",/questoes-de-concursos/questoes/2c26fc9f-66
