,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5, A negação da proposição “É verão em Gramado se e somente se faz calor” é: ,Não é verão em Gramado se e somente se não faz calor.,Se é verão então faz calor.,É verão em Gramado e faz calor.,Não é verão em Gramado e não faz calor.,Ou é verão em Gramado ou faz calor.,/questoes-de-concursos/questoes/05ff68fe-a2
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a93efe5-a2
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a913431-a2
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a8e95a4-a2
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a8bd71a-a2
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a8896bb-a2
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a85a882-a2
12,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a7f2406-a2
13," Considere as três proposições a seguir. 1. Maria Clara é mais velha que Roberto. 2. Gabriel é mais velho que Maria Clara.3. Roberto é mais velho que Gabriel.Se as duas primeiras proposições forem verdadeiras, é possível CONCLUIR que  ","a terceira proposição é, simultaneamente, verdadeira e falsa. ",a terceira proposição é verdadeira.,a terceira proposição é falsa.,não é possível determinar o valor lógico da terceira proposição.,a terceira proposição não tem valor lógico.,/questoes-de-concursos/questoes/8b541dd7-a1
14,error,"V, F, F e V. ","V, F, V e V.","F, F, V e F.","F, V, V e F.","V, F, V e F.",/questoes-de-concursos/questoes/8b4ae0c0-a1
15, Sejam p e r duas proposições verdadeiras e q uma proposição falsa. Qual o valor lógico da proposição abaixo?P : [ ( p → q ) → ( r ˄ ~ p ) ] ↔ ~ q ,Não é possível determinar o valor lógico de P. ,Falso.,Verdadeiro.,P não tem valor lógico.,P é verdadeiro e falso. ,/questoes-de-concursos/questoes/8b477967-a1
16," Considere as proposições p, q, r e S a seguir:  p: Campina Grande é uma cidade. q: Oscar Niemeyer é um arquiteto brasileiro. r: O sol gira em torno da terra. S: p → ~ q ˄ r.   Logo, pode-se afirmar que: ",Não é possível determinar o valor lógico de S.,error,error,error,error,/questoes-de-concursos/questoes/911faead-a1
17,error,"V, V, F e F.","V, V, V e F.","F, V, F e V.","V, F, F e F. ","F, V, V e V. ",/questoes-de-concursos/questoes/9110518b-a1
18,error,conhecia o número de telefone da pessoa que estava ligando para ele.,também forneceu seu nome. ,"forneceu sua conta, mas não disse o seu nome.",não conhecia o número de telefone da pessoa que estava ligando para ele.,"não disse o seu nome, pois conhecia o número de telefone da pessoa que estava ligando para ele.",/questoes-de-concursos/questoes/91097059-a1
19, Assinale a alternativa que contém uma negação lógica para a seguinte afirmação: Todos os servidores públicos usam gravata. ,Existe servidor público que não usa gravata. ,Nenhum servidor público usa gravata.,Alguns servidores públicos usam gravata.,Todos os que usam gravata não são servidores públicos.,Ninguém que não usa gravata é servidor público.,/questoes-de-concursos/questoes/c7392b0d-a1
20," Considere falsa a afirmação: Se Antonio é alto e magro, então ele é atleta.Com base nessas informações é correto afirmar que ",Antonio não é magro e não é atleta.,Antonio não é alto e não é atleta.,Antonio não é atleta e é alto e magro.,Antonio é atleta e é alto e não é magro.,Antonio é atleta e não é alto ou não é magro.,/questoes-de-concursos/questoes/c733c326-a1
21," Se todo X é Y, todo Y é W, todo W é Z e todo P é Y então NÃO é verdade que: ",todo X é W.,todo P é Z. ,todo X é P.,todo X é Z.,todo Y é Z.,/questoes-de-concursos/questoes/098645e0-a1
22," Sempre que vai à feira, Márcia compra laranja e toma um caldo de cana. Hoje Márcia não foi à feira. Assim: ",Márcia não comprou laranja mas pode ter tomado um caldo de cana. ,Márcia não tomou um caldo de cana.,Márcia não tomou um caldo de cana nem comprou laranja.,Márcia pode ter tomado um caldo de cana ou ter comprado laranja.,Márcia comprou laranja ou tomou um caldo de cana. ,/questoes-de-concursos/questoes/09830f8a-a1
23, A negação de “Todo guarda é ‘boa praça’” é: ,Todo ‘boa praça’ é guarda.,Nenhum guarda é ‘boa praça’.,Nenhum ‘boa praça’ é guarda.,Pelo menos um guarda não é ‘boa praça’.,Quase todos os guardas são ‘boa praça’.,/questoes-de-concursos/questoes/09756520-a1
24,none,none,none,none,none,none,/questoes-de-concursos/questoes/6b0981ee-ec
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/927eaa33-a0
26,none,none,none,none,none,none,/questoes-de-concursos/questoes/9275affc-a0
27," A negação da proposição “Se faz calor em Campo Bom, então os parques estão cheios de pessoas felizes” é: ",Faz calor em Campo Bom e os parques não estão cheios de pessoas felizes.,"Se não faz calor em Campo Bom, então os parques não estão cheios de pessoas felizes.",Ou faz calor em Campo Bom ou os parques estão cheios de pessoas felizes.,Faz calor em Campo Bom se e somente se os parques estão cheios de pessoas felizes.,Faz calor em Campo Bom ou os parques estão cheios de pessoas felizes.,/questoes-de-concursos/questoes/5c9ba9e0-44
28," A negação de “Andréa passou no concurso e se casou com Osvaldo”, é: ",Andréa não passou no concurso e não se casou com Osvaldo.,Andréa não passou no concurso e se casou com Osvaldo.,Andréa não passou no concurso ou não se casou com Osvaldo.,Andréa não passou no concurso e não se casou.,"Andréa passou no concurso, mas não se casou com Osvaldo.",/questoes-de-concursos/questoes/df10323d-8e
29,error,"A não é válido, P é falso e C é verdadeiro.","A não é válido, P e C são falsos.","A é válido, P e C são falsos.","A é válido, P ou C são verdadeiros.",A é válido se P é verdadeiro e C é falso.,/questoes-de-concursos/questoes/f385f058-9f
30,error,somente a proposição I é falsa. ,as proposições II e III são verdadeiras.,as proposições I e II são verdadeiras.,"se a proposição II é falsa, então a proposição III é verdadeira.",a proposição I é falsa e a proposição III é verdadeira.,/questoes-de-concursos/questoes/5449e476-69
