,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
9, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
10, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é  ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/d83c2933-34
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/6969e600-33
12," A negação lógica da sentença “Estou de férias e, se tenho vontade, então viajo” é:  ",Não estou de férias ou tenho vontade e não viajo.  ,Não estou de férias e tenho vontade e não viajo.,Estou de férias ou tenho vontade e não viajo. ,Estou de férias e tenho vontade e não viajo.  ,Não estou de férias e tenho vontade e viajo. ,/questoes-de-concursos/questoes/157f4905-32
13, Alpha afirmou: “Todos os servidores da FURG que não são docentes trabalham no escritório ou trabalham no laboratório”. Assinale a alternativa que indica a sentença que representa a negação do que Alpha afirmou.   , Algum servidor da FURG que não é docente e não trabalha no escritório e não trabalha no laboratório.   , Algum servidor da FURG é docente mas trabalha no escritório ou trabalha no laboratório.  , Nenhum servidor da FURG que é docente trabalha no escritório ou trabalha no laboratório.   , Nenhum dos servidores da FURG que não são docentes trabalham no escritório ou trabalham no laboratório.  ,Todos os servidores da FURG que são docentes não trabalham no escritório e não trabalham no laboratório.,/questoes-de-concursos/questoes/157c6275-32
14," Uma sentença logicamente equivalente a “Se gosto de trabalhar e pratico esportes, então tenho uma vida adorável” é: "," Se não gosto de trabalhar nem pratico esportes, então não tenho uma vida adorável.  ","Se tenho uma vida adorável, então gosto de trabalhar e pratico esportes. "," Se não tenho uma vida adorável, então não gosto de trabalhar nem pratico esportes.   ","Gosto de trabalhar e pratico esportes, mas não tenho uma vida adorável. ",Não gosto de trabalhar ou não pratico esportes ou tenho uma vida adorável.  ,/questoes-de-concursos/questoes/15726444-32
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/11d1e330-2f
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/11cb240b-2f
17,error,Todos os alunos de Medicina e nenhum aluno de Serviço Social.,Algum aluno de Medicina e algum aluno de Serviço Social.,Nenhum aluno de Medicina e nem todos os alunos de Serviço Social.,Todos os alunos de Medicina ou nenhum aluno de Serviço Social.,Nenhum aluno de Medicina ou nem todos os alunos de Serviço Social.,/questoes-de-concursos/questoes/59e02289-2e
18, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast,/questoes-de-concursos/questoes/f6a61d8a-2e
19," Uma equivalente lógica para a proposição “Se eu me cuido, então sou saudável” está contida na alternativa: ","Se sou saudável, então eu me cuido.",Eu não me cuido ou sou saudável.,Eu me cuido e sou saudável.,Eu não me cuido e não sou saudável,Sou saudável e eu não me cuido.,/questoes-de-concursos/questoes/8706781c-2d
20," Considere a seguinte proposição: “Cláudia é advogada se, e somente se, Paulo é assistente social.” Assinale a alternativa que contém uma negação lógica para a proposição dada ","Cláudia não é advogada se, e somente se, Paulo não é assistente social.",Paulo é assistente social e Cláudia não é advogada.,Ou Paulo é assistente social ou Cláudia é advogada. ,"Se Paulo não é assistente social, então Cláudia não é advogada. ",Cláudia é advogada e Paulo não é assistente social. ,/questoes-de-concursos/questoes/87029965-2d
21," Considere o slogan da campanha de educação no trânsito.Fonte: Disponível em: https://valenews.com.br/2020/02/17/campanha-se-beber-nao-dirija-da-ccrnovadutra-ganha-reforco-com-a-distribuicao-de-folhetos-educativos/. Acesso em 11 de março 22. (fragmento) Assumindo que a frase “Se beber, não dirija’’ seja uma implicação verdadeira, pode-se afirmar corretamente que ",não dirigir é condição necessária para beber.,"se uma pessoa não dirigiu, então, ela não bebeu.","para que uma pessoa não beba, é necessário que ela dirija.","se uma pessoa dirigiu, é suficiente para concluir que ela não bebeu.","se uma pessoa não bebeu, é suficiente para concluir que ela não dirigiu.",/questoes-de-concursos/questoes/fccdbc4d-2d
22," Na lista de aprovados de um concurso, verificou-se que todos os candidatos aprovados têm 25 anos ou mais e nenhum deles tem mais de 50 anos. A negação dessa afirmação é:  ",Algum dos candidatos aprovados tem entre 25 e 50 anos.,Nenhum candidato aprovado tem menos de 25 anos e algum deles tem mais de 50 anos.,Nenhum candidato aprovado tem menos de 25 anos e todos eles têm mais de 50 anos.,Nenhum candidato aprovado tem menos de 25 anos ou algum deles tem menos de 50 anos., Pelo menos um candidato aprovado tem menos de 25 anos ou algum deles tem mais de 50 anos. ,/questoes-de-concursos/questoes/fcb60747-2d
