,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4,error,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/bdecae70-e6
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/bd2d21fb-e6
7," A afirmação logicamente equivalente à sentença:  “Se o número 5 ou 8 for sorteado, então eu serei rico e famoso” é: "," Se eu não for rico ou famoso, então os números 5 e 8 não serão sorteados. "," Se eu não for rico e famoso famoso, então os números 5 e 8 não serão sorteados. "," Se o número 5 ou 8 não for sorteado, então eu não serei rico e famoso. "," Se o número 5 ou 8 não for sorteado, então eu não serei rico ou não serei famoso. "," Se eu não for rico ou famoso, então ou o número 5 ou o número 8 não será sorteado. ",/questoes-de-concursos/questoes/e53de5db-e1
8,error,Nenhum jogador de futebol que não é rico joga no Brasil ou joga mal ,Todos os jogadores de futebol que não jogam no Brasil e não jogam mal ,Algum jogador de futebol que não é rico não joga no Brasil e não joga mal ,Algum jogador de futebol é rico mas joga no Brasil ou joga mal ,Nenhum jogador de futebol que é rico joga no Brasil ou joga mal ,/questoes-de-concursos/questoes/63d5c99d-e1
9,error,o conjunto dos policiais civis contém o conjunto dos democratas ,o conjunto dos democratas contém o conjunto dos policiais civis. ,todos os democratas são policiais civis. ,algum policial civil não é democrata. ,nenhum policial civil é democrata. ,/questoes-de-concursos/questoes/d25bfb41-df
10, É correto afirmar que uma proposição é a negação de outra quando: ,"se uma for verdadeira, então a outra obrigatoriamente não poderá ser falsa. ","se uma for falsa, então a outra obrigatoriamente não poderá ser verdadeira. ","se uma for verdadeira, então a outra é obrigatoriamente falsa. ",a soma das proposições resultar obrigatoriamente em números negativos. ,a soma das proposições resultar obrigatoriamente em números positivos. ,/questoes-de-concursos/questoes/cc91c550-df
11," A afirmação logicamente equivalente à sentença: “Se José e Maria trabalham, então João ou Lúcia descansam” é: ","Se João ou Lúcia descansam, então José e Maria não trabalham. ","Se João ou Lúcia descansam, então José ou Maria não trabalham. ","Se José e Maria não trabalham, então João e Lúcia não descansam. ","Se João e Lúcia não descansam, então José e Maria não trabalham. ","Se João e Lúcia não descansam, então José ou Maria não trabalham. ",/questoes-de-concursos/questoes/c5a005c2-dc
12," A afirmação “se Adir é arquiteto e Benito é engenheiro, então Carlos é matemático” é logicamente equivalente a: ","se Carlos é matemático, então Adir é arquiteto e Benito é engenheiro ","se Carlos não é matemático, então Adir não é arquiteto e Benito não é engenheiro ","se Carlos não é matemático, então Adir é arquiteto ou Benito é engenheiro ","se Carlos não é matemático, então Adir é arquiteto ou Benito não é engenheiro ","se Carlos não é matemático, então Adir não é arquiteto ou Benito não é engenheiro ",/questoes-de-concursos/questoes/600091a0-da
13," A negação da afirmação “se beber, então não dirija” é: ", beba e dirija ,não beba e dirija ,não beba ou dirija ,"se dirigir, então não beba ","se não beber, então dirija ",/questoes-de-concursos/questoes/5d19ef6d-da
14,none,none,none,none,none,none,/questoes-de-concursos/questoes/883d7f8c-a7
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/7814ced8-d6
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/739f7d00-d6
17," A negação da proposição “se Paulo trabalha oito horas por dia, então ele é servidor público"" é logicamente equivalente à proposição: ",Paulo	trabalha	oito	horas	por	dia	ou	é	servidor	público.,Paulo trabalha oito horas por dia e não é servidor público.,Paulo	trabalha	oito	horas	por	dia	e	é	servidor	público.,"Se	Paulo	não	trabalha	oito	horas	por	dia,	então	não	é servidor	público.","Se	Paulo é servidor público, então ele não trabalha oito	horas	por	dia.",/questoes-de-concursos/questoes/6610ca74-d0
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/0e492a93-cf
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/0dbd8547-cf
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/0d3174ab-cf
21," No contexto do Cálculo Proposicional, é verdadeira a afirmação ",(~p ^ q) é equivalente a ~(p ˅ q),~(p ^ q ) é equivalente a (p → ~q),(p ˅ q) é equivalente a ~(p ^ q),(p → q) é equivalente a (p ^ ~q),~(p → q) é equivalente a (~p ˅ q),/questoes-de-concursos/questoes/72dec295-cd
22," Considere a seguinte afirmação: Se José estuda com persistência, então ele faz uma boa prova e fica satisfeito. Uma afirmação que é a negação da afirmação acima é ",José estuda com persistência e ele não faz uma boa prova e ele não fica satisfeito. ,José não estuda com persistência e ele não faz uma boa prova ou fica satisfeito. , José estuda com persistência ou ele faz uma boa prova ou ele não fica satisfeito. ,José estuda com persistência e ele não faz uma boa prova ou ele não fica satisfeito. ,Se José fica satisfeito então ele fez uma boa prova e estudou com persistência. ,/questoes-de-concursos/questoes/4e70091f-cb
23,none,none,none,none,none,none,/questoes-de-concursos/questoes/c39bde5d-cb
24," Considere a afirmação: Nem todas as exigências foram cumpridas ou o processo segue adiante. Do ponto de vista lógico, uma afirmação equivalente à acima é:  ",Nem todas as exigências foram cumpridas e o pro- cesso segue adiante. ,"Se o processo segue adiante, então nem todas as exigências foram cumpridas. ",O processo não segue adiante e todas as exigências foram cumpridas. ,"Se todas as exigências foram cumpridas, então o processo segue adiante. ","Se nenhuma exigência foi cumprida, então o processo não segue adiante. ",/questoes-de-concursos/questoes/e08c3ddb-ca
25, Marcos é juiz de direito ou André ganhou o processo eqüivale logicamente a dizer que: ,"Se Marcos não é juiz de direito , então André ganhou o processo. ", Marcos é juiz de direito e André não ganhou o processo. ,"Marcos é juiz de direito se , e somente se, André ganhou o processo. ","Se Marcos não é juiz de direito, então André não ganhou o processo. ",Marcos não é juiz de direito ou André não ganhou o processo. ,/questoes-de-concursos/questoes/55eb4b7c-ca
