,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/4fe1d76a-70
6," Considere as proposições: p: O defeito do computador é de hardware. q: O defeito do computador é de software. A negação da proposição “O defeito do computador é hardware ou não é software"" na forma simbólica usando p e q é ",¬ p ∧ ¬ q,¬ p∨ ¬ q,¬ (p∨ q),¬ (p ∧ q),¬ (p∨ ¬ q),/questoes-de-concursos/questoes/692f30bf-70
7, A negação de “Todas as tortas são doces” é ,“Nenhuma torta é doce”.,“Existe torta que não é doce”.,“Existe apenas uma torta doce”.,“Existe apenas uma torta que não é doce”.,“Todas as tortas são salgadas”.,/questoes-de-concursos/questoes/9bad2d37-70
8," Sendo verdadeira a afirmação a seguir: “Carlos está lecionando ou Carlos usa sandália e bermuda."" Conclui-se, logicamente, que: ","Se Carlos está de sapatos, então Carlos está lecionando.","Se Carlos está de sandália e bermuda, então Carlos não está lecionando.",Ou Carlos leciona ou Carlos usa bermuda.,Carlos leciona e Carlos usa sandália ou bermuda.,Carlos não leciona quando está de sapatos.,/questoes-de-concursos/questoes/3a24162d-6f
9, A negação da proposição “Todo homem é forte” é ,“nenhum homem é forte”.,“algum homem é forte”.,“nenhum homem é fraco”.,“algum homem não é forte”.,“todo homem é fraco”.,/questoes-de-concursos/questoes/f0e15975-6d
10,error,~ p v ~ q.,~ p v q.,~ q ∧ p.,q ∧ p.,error,/questoes-de-concursos/questoes/ea95487a-6a
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/f8e1b234-69
12,none,none,none,none,none,none,/questoes-de-concursos/questoes/f8d53e25-69
13, Dizer que João é baixo ou que Nestor não é forte é equivalente a dizer que: ,João é baixo e Nestor é forte., Não é verdade que João não é baixo ou Nestor é forte. , Não é verdade que João não é baixo e Nestor é forte. , Não é verdade que João é baixo e Nestor é forte. , Não é verdade que João é baixo ou Nestor é forte. ,/questoes-de-concursos/questoes/5d3c19dc-69
14,none,none,none,none,none,none,/questoes-de-concursos/questoes/908593dc-68
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/e67e97e3-67
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/267d15a5-66
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/13173d1b-62
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/13117f75-62
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/12ff0289-62
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/d1787743-62
21,none,none,none,none,none,none,/questoes-de-concursos/questoes/d16c90fc-62
22, A negação lógica da proposição é:  (∀x &gt 0)(∃n ∈ N) n &gt x é: ,(∃x &gt 0)(∀n ∈ N) n ≤ x.,(∀x ≤ 0)(∃n ∉ N) n ≤ x.,(∃x ≤ 0)(∀n ∈ N) n ≤ x.,(∀x &gt 0)(∃n ∉ N) n ≤ x.,(∀x &gt 0)(∃n ∈ N) n ≤ x.,/questoes-de-concursos/questoes/8b4f1691-61
23," Analisando o seguinte conjunto de premissas: A: Se navegar é preciso, então viver não é preciso B: Se viver não é preciso, então quero para mim o espírito dessa frase C: Não quero para mim o espírito dessa frase É correto concluir que:  ",navegar é preciso.,viver é preciso.,navegar não é preciso.,viver não é preciso.,navegar é preciso e viver não é preciso.,/questoes-de-concursos/questoes/8b2a0aac-61
24," Observando as afirmações: I) Se todo X é igual a Y, então todo Y é igual a X. II) Se todo X é Y e se todo Y é Z, então todo X é Z. III) Se todo A é B e todo C é B, então pode haver A que é C. Pode-se afirmar que são corretas:  ",somente I e III,somente II,somente II e III,todas as afirmações,nenhuma afirmação,/questoes-de-concursos/questoes/ab59d62a-60
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/d79ad639-60
26,none,none,none,none,none,none,/questoes-de-concursos/questoes/d7890a17-60
27," A frase “Se a Terra é um planeta, então não emite luz"" é equivalente a frase:  ",A Terra é um planeta e não emite luz.,A Terra não é um planeta ou não emite luz.,A Terra é um planeta ou não emite luz.,A Terra não é um planeta e não emite luz.,A Terra é um planeta ou emite luz.,/questoes-de-concursos/questoes/d7fa5a47-5f
28,none,none,none,none,none,none,/questoes-de-concursos/questoes/55c8d7d2-5f
29,none,none,none,none,none,none,/questoes-de-concursos/questoes/af42640a-5e
30, A Frase “A Lua é um satélite ou Saturno não é o maior planeta” é equivalente a frase: ,“A Lua é um satélite e Saturno não é o maior planeta”,“A Lua não é um satélite e Saturno é o maior planeta”," “Se a Lua não é um satélite, então Saturno não é o maior planeta” "," “A Lua é um satélite se, e somente se, Saturno não é o maior planeta” "," “Se a Lua é um satélite, então Saturno não é o maior planeta” ",/questoes-de-concursos/questoes/6926fe3c-4d
31," De acordo com a equivalência lógica, a negação da frase “Se Paulo compra um carro, então não paga à vista” é: ",Paulo não compra um carro ou não paga à vista.,Paulo não compra um carro ou paga à vista.,Paulo compra um carro e não paga à vista.,Paulo não compra um carro e paga à vista.,Paulo compra um carro e paga à vista.,/questoes-de-concursos/questoes/68fd9b31-4d
32," A negação da sentença “Se Jessica tirar boa nota na prova, então seu pai lhe dará um presente” é: ",Jessica tirará boa nota na prova e seu pai não lhe dará um presente., Jessica não tirará boa nota na prova e seu pai não lhe dará um presente.,"Se Jessica tirar uma nota ruim, seu pai lhe dará um presente.",Jessica tirará boa nota na prova e seu pai lhe dará um presente.,"Se Jessica não tirará boa nota na prova, então seu pai lhe dará um presente.",/questoes-de-concursos/questoes/a2798087-48
