,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5," Uma frase equivalente à afirmação: Se todos ficam calados, então eu falo, é: ", Todos ficam calados e eu falo. , Nem todos ficam calados e eu não falo. , Quase todos ficam calados e eu falo. ," Se eu falo, então todos ficam calados.  "," Se eu não falo, então nem todos ficam calados.  ",/questoes-de-concursos/questoes/9d665b73-5f
6," Considere a afirmação:  Se coloco água na garrafa e não sobra espaço, então não fico com sede.  Uma afirmação que corresponde à sua negação lógica é:  ", Coloco água na garrafa e não sobra espaço e fico com sede. ," Se fico com sede, então não coloco água na garrafa ou sobra espaço. "," Se não coloco água na garrafa e sobra espaço, então fico com sede. ", Ou coloco água na garrafa ou não sobra espaço e fico com sede. , Não fico com sede ou não sobra espaço ou não coloco água na garrafa. ,/questoes-de-concursos/questoes/9d6225aa-5f
7," Dada a afirmação: “Ezequiel é perito criminal e Osmar é investigador da polícia.”, assinale a alternativa que apresenta sua negação. ", “Ezequiel não é perito e Osmar não é investigador.”. , “Ezequiel não é perito ou Osmar é investigador.”. , “Ezequiel é perito ou Osmar não é investigador.”. , “Ezequiel não é perito ou Osmar não é investigador.”. , “Ezequiel é perito e Osmar é investigador.”. ,/questoes-de-concursos/questoes/cfbe15d2-52
8," Dada a proposição: “Se eu investigar, eu descubro o assassino.”, é correto afirmar que ela pode ser reescrita, sem alterar o sentido lógico, igual a alternativa: "," “Se eu não investigar, eu não descubro o assassino.”. "," “Se eu não descobri o assassino, eu não investiguei.”.  ", “Descobri o assassino e não investiguei.”. , “Investiguei e não descobri o assassino.”. ," “Se eu descobri o assassino, eu não investiguei.”. ",/questoes-de-concursos/questoes/cfb2d0da-52
9," Dada a afirmação: “Todo político é corrupto.”, assinale a alternativa que seja uma afirmação logicamente equivalente. ", “Todo corrupto é político.”. , “Quem não é político não é corrupto.”.  , “Um homem é político ou é corrupto.”. , “Um homem não é corrupto ou não é político.”. , “Todos que não são corruptos não são políticos.”. ,/questoes-de-concursos/questoes/cfa4ef0b-52
10, Qual das seguintes alternativas apresenta a contraditória da afirmação: “Todo condenado é culpado.”? ,“Todo condenado não é culpado.”. ,“Algum culpado é condenado.”. ,“Algum condenado não é culpado.”. ,“Algum condenado é culpado.”. ,“Todo culpado é condenado.”. ,/questoes-de-concursos/questoes/e9a7211d-50
11," Em uma cena de crime, encontram-se digitais e DNA de várias pessoas, porém nem sempre são encontrados as digitais e o DNA do culpado. Considere verdade que: “Se a digital do culpado estiver na cena do crime, então o DNA não estará.”. Essa afirmação é equivalente a ","“Se o DNA estiver na cena do crime, então a digital do culpado não estará.”. ","“Se a digital do culpado não estiver na cena do crime, então o DNA estará.”. "," “Se a digital do culpado não estiver na cena do crime, então o não DNA estará.”. ","“Se o DNA estiver na cena do crime, então a digital do culpado estará.”. ","“Se o DNA não estiver na cena do crime, então a digital do culpado estará.”. ",/questoes-de-concursos/questoes/e9a3e3b1-50
12," Assinale a alternativa que apresenta a negação da seguinte afirmação: “Se o DNA encontrado for compatível e se as digitais forem as mesmas, o crime estará solucionado.”.  "," “O DNA encontrado é compatível e as digitais são as mesmas, e o crime não foi solucionado.”. ", “O DNA encontrado é compatível e as digitais são as mesmas ou o crime não foi solucionado.”. ," “O DNA encontrado não é compatível e as digitais não são as mesmas, e o crime não foi solucionado.”. "," “Se o DNA encontrado não for compatível e se as digitais não forem as mesmas, o crime não estará solucionado.”. "," “Se o DNA encontrado for compatível e se as digitais forem as mesmas, o crime não estará solucionado.”. ",/questoes-de-concursos/questoes/e99fc5a8-50
13," Assinale a alternativa que apresenta uma afirmação semelhante à seguinte: “Se eu estivesse atento, teria solucionado o crime.”.  ",“Estava atento e solucionei o crime.”. ,"“Se eu solucionei o crime, então estava atento.”. ","“Se eu não estava atento, então não solucionei o crime.”. ",“Não estava atento e não solucionei o crime.”. ,"“Se eu não solucionei o crime, então eu não estava atento.”. ",/questoes-de-concursos/questoes/e99b014b-50
14, Considere a afirmação: “Sou Médico e Perito Criminal.” e assinale a alternativa que apresenta a negação dessa afirmação. ,“Sou Médico ou sou Perito Criminal.”. ,“Sou Médico ou não sou Perito Criminal.”. ,“Não sou Médico e não sou Perito Criminal.”. ,“Não sou Médico ou não sou Perito Criminal.”. ,“Não sou Médico e sou Perito Criminal.”. ,/questoes-de-concursos/questoes/e996d54b-50
15," Para participar do processo de transferência externa para uma faculdade, o candidato deve cumprir todos os seguintes pré-requisitos:  - Ter cursado pelo menos 1 ano na instituição de origem. - Não ter dependência no histórico.  Carlos pretendia participar desse processo. Para isso, foi à secretaria da faculdade e lá foi informado de que não poderia participar do processo. A afirmação “Carlos não pode participar do processo de transferência externa” é equivalente a: ", Carlos cursou menos de 1 ano na instituição de origem. , Carlos tem dependência no histórico. ," Carlos não tem dependência no histórico, mas certamente cursou pelo menos 1 ano na instituição de origem.  "," Carlos certamente tem dependência no histórico, mas não cursou pelo menos 1 ano na instituição de origem. ", Carlos não cursou pelo menos 1 ano na instituição de origem ou tem dependência no histórico. ,/questoes-de-concursos/questoes/11247b86-4f
16," Dois funcionários de uma faculdade discutiam a possibilidade de remodelação de uma sala de arquivo. Um deles disse:  “Se não comprarmos novas estantes, então não poderemos aceitar novos arquivos.”  A proposição equivalente à fala desse funcionário é: "," “Se comprarmos novas estantes, então poderemos aceitar novos arquivos.” "," “Se pudermos aceitar novos arquivos, então terão sido compradas novas estantes.” "," “Se comprarmos novas estantes, então não poderemos aceitar novos arquivos.” "," “Se não pudermos aceitar novos arquivos, então não compraremos novas estantes.”  ", “Precisamos comprar novas estantes para aceitar novos arquivos.” ,/questoes-de-concursos/questoes/110d840c-4f
