,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5, Determine a negação da proposição “Lívia é estudiosa e Marcos decora”. ,Marcos não decora e Lívia é estudiosa.,Lívia não é estudiosa ou Marcos não decora.,Lívia não é estudiosa e Marcos decora. ,Lívia é estudiosa ou Marcos decora.,Lívia não é estudiosa ou Marcos decora. ,/questoes-de-concursos/questoes/03e88ed0-73
6, Assinale a alternativa que contém a sentença logicamente equivalente a “Carlos não é alto ou Rodrigo é forte”. ,"Se Carlos não é alto, então Rodrigo não é forte. ","Se Carlos é alto, então Rodrigo não é forte. ","Se Carlos não é alto, então Rodrigo é forte. ","Se Carlos é alto, então Rodrigo é forte. ","Se Rodrigo é forte, então Carlos é alto. ",/questoes-de-concursos/questoes/03e30be9-73
7," Considere como verdadeira a seguinte sentença: “Se todas as flores são vermelhas, então o jardim é bonito”. É correto concluir que: ","se todas as flores não são vermelhas, então o jardim não é bonito ","se uma flor é amarela, então o jardim não é bonito","se o jardim é bonito, então todas as flores são vermelhas","se o jardim não é bonito, então todas as flores não são vermelhas ","se o jardim não é bonito, então pelo menos uma flor não é vermelha. ",/questoes-de-concursos/questoes/41813467-72
8," Uma afirmação equivalente para “Se estou feliz, então passei no concurso” é: ","Se passei no concurso, então estou feliz.","Se não passei no concurso, então não estou feliz.",Não passei no concurso e não estou feliz.,Estou feliz e passei no concurso.,Passei no concurso e não estou feliz.,/questoes-de-concursos/questoes/153ff802-61
9," Considerando falsa a afirmação “Se Ana é gerente, então Carlos é diretor”, a afirmação necessariamente verdadeira é: ",Ana é gerente.,Carlos é diretor.,"Ana não é gerente, e Carlos não é diretor.","Ana não é gerente, ou Carlos é diretor.","Ana é gerente, e Carlos é diretor.",/questoes-de-concursos/questoes/153d1893-61
10, “Existe um lugar em que não há poluição” é uma negação lógica da afirmação: ,"Em todo lugar, não há poluição.","Em alguns lugares, há poluição.","Em todo lugar, há poluição.","Em alguns lugares, pode não haver poluição.","Em alguns lugares, não há poluição.",/questoes-de-concursos/questoes/153a3543-61
11," Uma negação lógica para a afirmação “João é rico, ou Maria é pobre” é: ","Se João é rico, então Maria é pobre.","João não é rico, e Maria não é pobre.","João é rico, e Maria não é pobre.","Se João não é rico, então Maria não é pobre.","João não é rico, ou Maria não é pobre.",/questoes-de-concursos/questoes/15373b3b-61
12," Arno, especialista em lógica, perguntou: qual a negação de “hoje é carnaval se, e somente se, for 8 ou 9 de fevereiro”? A resposta CORRETA é:  ","Hoje não é carnaval se, e somente se, não for 8 ou 9 de fevereiro. ",Hoje não é carnaval e não é 8 nem 9 de fevereiro. , Hoje não é carnaval e é 8 ou 9 de fevereiro ou hoje é carnaval e não é 8 nem 9 de fevereiro. ,Hoje é carnaval e é 8 de fevereiro. ,O carnaval não é no mês de fevereiro. ,/questoes-de-concursos/questoes/6481b31a-5d
13, A fórmula da lógica sentencial ¬((A ∧¬B)→C) é equivalente à fórmula ,¬A∨¬B∨¬C ,A∧¬B∧¬C ,¬A∨B∨C ,¬A∨B∨¬C ,A∧B∧¬C ,/questoes-de-concursos/questoes/75fd6402-5b
14, A negação da expressão x ∈ (A ∩ B) é: ,error,error,x ∉ A ou x ∉ B ,x ∉ A e x ∉ B ,error,/questoes-de-concursos/questoes/a3a8b86c-58
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/5d37fae5-55
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/2a93ab86-53
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/1bbe4bc3-4b
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/1bad2acc-4b
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/71866e7b-3e
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/717dcb55-3e
21,none,none,none,none,none,none,/questoes-de-concursos/questoes/717b1aa4-3e
22, A negação da frase “Toda criança gosta de brincar” é: , Nenhuma criança gosta de brincar , Algumas crianças gostam de brincar. , Quase todas as crianças gostam de brincar. , Muitas crianças gostam de brincar. , Ao menos uma criança não gosta de brincar. ,/questoes-de-concursos/questoes/f3e9a389-3b
23, A negação da proposição “Todo homem é forte” é , “nenhum homem é forte”. , “algum homem é forte”. , “nenhum homem é fraco”. , “algum homem não é forte”. , “todo homem é fraco”. ,/questoes-de-concursos/questoes/c64d2252-3b
24," Diz-se que duas preposições são equivalentes entre si quando elas possuem o mesmo valor lógico. A sentença logicamente equivalente a: “ Se Maria é médica, então Victor é professor” é: ",Se Victor não é professor então Maria não é médica,Se Maria não é médica então Victor não é professor,"Se Victor é professor, Maria é médica ",Se Maria é médica ou Victor é professor,Se Maria é médica ou Victor não é professor,/questoes-de-concursos/questoes/8813638a-39
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/f51991ad-37
26," Falar que é verdade que “para todo policial, se o policial é civil e se o policial é investigador, então o policial está em ação” é logicamente equivalente a falar que não é verdade que: ",alguns civis que não são investigadores estão em ação. ,alguns civis investigadores estão em ação,nenhum civil investigador não está em ação.,alguém que não é um civil investigador está em ação.,existe um civil investigador que não está em ação. ,/questoes-de-concursos/questoes/97e402d3-37
27," Falar que é verdade que “para todo policial, se o policial é civil e se o policial é investigador, então o policial está em ação” é logicamente equivalente a falar que não é verdade que:  ", alguns civis investigadores estão em ação  , nenhum civil investigador não está em ação. , alguém que não é um civil investigador está em ação.  , alguns civis que não são investigadores estão em ação.  , existe um civil investigador que não está em ação.  ,/questoes-de-concursos/questoes/ca7919ff-36
