,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/904b275d-07
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/d4c90e76-06
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/d4234494-06
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/d22d5670-06
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/e6e9acbd-06
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/02f1f170-04
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/c3dd60a4-04
12," Uma negação lógica para a proposição a Terra é redonda se e somente se o céu não é azul ,pode ser dada por: ","o céu é azul e a Terra é redonda, ou a Terra é redonda e o céu não é azul. ",a Terra é redonda e o céu não é azul ,"o céu não é azul e a Terra não é redonda, ou a Terra é redonda e o céu é azul ",a Terra não é redonda ou o céu não é azul. ,O céu não é azul e a Terra não é redonda. ,/questoes-de-concursos/questoes/c72f76e1-ff
13," Se sou responsável, então sou um bom profissional.Uma afirmação equivalente à afirmação acima está contida no item: ","Se sou um bom profissional, então sou responsável ",Sou um bom profissional se e somente se sou respon- sável. ,"Se não sou responsável, então não sou um bom profis- sional. ",Não sou responsável se e somente se não sou um bom profissional. ,"Se não sou um bom profissional, então não sou responsável. ",/questoes-de-concursos/questoes/c3f7fc96-ff
14," Assinale a alternativa que contém a negação da sentença lógica “Se fizer frio, eu compro um agasalho”. ","Se não fizer frio, eu compro umagasalho. ",Faz frio e eu não compro umagasalho. ,Não faz frio e eu não compro umagasalho. ,"Se fizer frio, eu não compro umagasalho ",Não faz frio e eu compro umagasalho. ,/questoes-de-concursos/questoes/8810f209-ff
15," Do ponto de vista lógico, dizer que a afirmação “todos os lutadores são bravos” é falsa, equivale a dizer que a seguinte afirmação é verdadeira. ",Pelo menos um lutador não é bravo ,Nenhum lutador é bravo ,Nenhuma pessoa brava é lutador ,Pelo menos uma pessoa brava não é lutador ,Todos os não bravos são não lutadores ,/questoes-de-concursos/questoes/68e179d2-fd
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/d1e168c2-fa
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/c9e020cd-fa
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/c87e232d-fa
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/c7085897-fa
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/892fe679-f9
21,none,none,none,none,none,none,/questoes-de-concursos/questoes/88a7f6a4-f9
22,none,none,none,none,none,none,/questoes-de-concursos/questoes/881d552f-f9
23,none,none,none,none,none,none,/questoes-de-concursos/questoes/9348c1af-e5
24,none,none,none,none,none,none,/questoes-de-concursos/questoes/921a8729-e5
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/90e4f189-e5
26,none,none,none,none,none,none,/questoes-de-concursos/questoes/8fb47985-e5
27," Proposição é toda sentença declarativa que pode ser classificada, unicamente, como verdadeira ou como falsa. Portanto, uma proposição que não possa ser classificada como falsa será verdadeira e vice-versa. Proposições compostas são sentenças formadas por duas ou mais proposições relacionadas por conectivos.    Sejam p e q proposições e ~p e ~q, respectivamente, suas negações. Se p e q são proposições verdadeiras, então é verdadeira a proposição composta  ",p ∧ ~q ,~p ∧ q ,~p ∧ ~q ,~p ∨ q ,~p ∨ ~q ,/questoes-de-concursos/questoes/54d5fa69-cb
28," Leia a afirmação a seguir.Se Demerval casa, então Demerval não compra uma bicicleta.Com relação a essa sentença, assinale a alternativa que apresenta, corretamente, a sentença equivalente do ponto de vista lógico. ","Se Demerval não casa, então Demerval compra uma bicicleta. ","Se Demerval não casa, então Demerval não compra uma bicicleta. ","Se Demerval não compra uma bicicleta, então Demerval casa. ","Se Demerval compra uma bicicleta, então Demerval não casa. ","Se Demerval casa, então Demerval compra uma bicicleta. ",/questoes-de-concursos/questoes/7dc7cc31-bc
29,none,none,none,none,none,none,/questoes-de-concursos/questoes/536be665-b6
30," Dada a proposição “Se Cíntia é assistente social, então Martha é psicóloga”, uma proposição equivalente é: ","Se Cíntia não é assistente social, então Martha não é psicóloga. ","Martha é psicóloga se, e somente se, Cíntia é assistente social. ","Se Martha não é psicóloga, então Cíntia não é assistente social. ","Se Martha é psicóloga, então Cíntia é assistente social. ",Cíntia é assistente social eMartha é psicóloga. ,/questoes-de-concursos/questoes/16f2bef6-b4
31, Dizer que não é verdade que Ana é capixaba e Leonardo é carioca é logicamente equivalente a dizer que é verdade que: ,"Se Ana não é capixaba, então Leonardo é carioca. ","Se Ana não é capixaba, então Leonardo não é carioca. ",Ana não é capixaba ou Leonardo não é carioca. ,Ana não é capixaba e Leonardo não é carioca. ,Ana é capixaba ou Leonardo não é carioca. ,/questoes-de-concursos/questoes/65a805d1-b2
32," Dada a proposição “Se Cíntia é assistente social, então Martha é psicóloga”, uma proposição equivalente é: ","Se Cíntia não é assistente social, então Martha não é psicóloga. ","Martha é psicóloga se, e somente se, Cíntia é assistente social. ","Se Martha não é psicóloga, então Cíntia não é assistente social. ","Se Martha é psicóloga, então Cíntia é assistente social. ",Cíntia é assistente social e Martha é psicóloga. ,/questoes-de-concursos/questoes/646b7fc7-b2
33, A negação da proposição condicional “Luciana é médica e legista da Polícia Civil” é: ,Luciana é médica ou é legista da Polícia Civil. ,Luciana não é médica e é legista da Polícia Civil. ,Luciana não é médica ou é legista da Polícia Civil. ,Luciana não é médica e não é legista da Polícia Civil. ,Luciana não é médica ou não é legista da Polícia Civil. ,/questoes-de-concursos/questoes/632d345d-b2
34,none,none,none,none,none,none,/questoes-de-concursos/questoes/e021aac4-ad
35,none,none,none,none,none,none,/questoes-de-concursos/questoes/4816bb6f-ac
