,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/edf8a5b5-59
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/c4ea3a11-58
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/c4e30384-58
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/c4dc8763-58
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/c4d5e689-58
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/d59a26b6-57
11," Considere a sentença “Se Marta gosta de pescar, então ela gosta de siri”. Uma sentença equivalente à sentença dada é: ","Se Marta não gosta de pescar, então ela não gosta de siri","Se Marta gosta de siri, então ela gosta de pescar","Se Marta gosta de siri, então ela não gosta de pescar","Se Marta não gosta de siri, então ela não gosta de pescar","Se Marta não gosta de pescar, então ela gosta de siri.",/questoes-de-concursos/questoes/5b85f01f-57
12, Considere a sentença “Alda gosta de maçã e não gosta de banana”. A negação da sentença dada é:  ,Alda não gosta de maçã e gosta de banana,Alda não gosta de maçã e não gosta de banana,Alda não gosta de maçã ou gosta de banana,Alda não gosta de maçã ou não gosta de banana,Alda gosta de maçã e gosta de banana. ,/questoes-de-concursos/questoes/5b825c9c-57
13, Considere a afirmação: “Quem rouba é preso. ” A negação dessa afirmação é:  , Alguém rouba e não é preso,Quem não é preso não roubou,Quem não rouba não é preso ,Quem rouba não é preso,Alguém não rouba ou não é preso. ,/questoes-de-concursos/questoes/35b6f003-57
14," Em certa empresa são verdadeiras as afirmações: • Qualquer gerente é mulher. • Nenhuma mulher sabe trocar uma lâmpada. É correto concluir que, nessa empresa:  ",algum gerente é homem ,há gerente que sabe trocar uma lâmpada,todo homem sabe trocar uma lâmpada,todas as mulheres são gerentes,nenhum gerente sabe trocar uma lâmpada. ,/questoes-de-concursos/questoes/35a9edd4-57
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/446c0c99-55
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/5c6ce702-55
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/70b4a2bf-55
18, Considere a afirmação: “João não trabalha e Maria fica em casa.” A negação dessa afirmação é: ,João não trabalha e Maria não fica em casa,João trabalha e Maria fica em casa,João trabalha e Maria não fica em casa,João trabalha ou Maria não fica em casa,João trabalha ou Maria fica em casa.,/questoes-de-concursos/questoes/1a180fbd-54
19,error,fechou a janela e mexeu nos papéis,não fechou a janela e não mexeu nos papéis,não fechou a janela e mexeu nos papéis,fechou a janela ou não mexeu nos papéis,não fechou a janela ou mexeu nos papéis.,/questoes-de-concursos/questoes/9a3f9eb0-53
20, Considere a afirmação: “João não trabalha e Maria fica em casa.” A negação dessa afirmação é: ,João não trabalha e Maria não fica em casa,João trabalha e Maria fica em casa,João trabalha e Maria não fica em casa,João trabalha ou Maria não fica em casa,João trabalha ou Maria fica em casa.,/questoes-de-concursos/questoes/4f21b6ca-53
21, Considere a seguinte afirmação: Todo homem é bípede e mamífero. A alternativa que apresenta uma negação lógica para essa afirmação é: ,Nenhum homem é bípede e mamífero.,Nenhum homem é bípede ou mamífero.,Existe homem que não é bípede ou não é mamífero.,Existe homem que não é bípede e não é mamífero.,Alguns homens são bípedes e mamíferos.,/questoes-de-concursos/questoes/ee97b648-49
22," Uma equivalente lógica para a proposição – Se Marta é casada, então Dionísio é divorciado – está contida na alternativa: ",Marta não é casada ou Dionísio é divorciado. ,Marta não é casada e Dionísio é divorciado. ,Marta é casada ou Dionísio é divorciado. ,Marta é casada e Dionísio é divorciado. ,Marta é casada ou Dionísio não é divorciado.,/questoes-de-concursos/questoes/dbea1672-48
23," Se um retângulo tem as medidas de seus quatro lados iguais, então ele é chamado de quadrado.  A alternativa que contém uma negação lógica da afirmação anterior é: ", Um retângulo não tem as medidas de seus quatro lados iguais ou ele não é chamado de quadrado. , Um retângulo é chamado de quadrado e ele tem as medidas de seus quatro lados iguais. , Um retângulo tem as medidas de seus quatro lados iguais e ele não é chamado de quadrado. ," Se um retângulo não tem as medidas de seus quatro lados iguais, então ele não é chamado de quadrado. "," Se um retângulo não é chamado de quadrado, então ele não tem as medidas de seus quatro lados iguais. ",/questoes-de-concursos/questoes/63ea6b55-44
24," Uma afirmação que seja logicamente equivalente à afirmação ‘Se Luciana e Rafael se prepararam muito para o concurso, então eles não precisam ficar nervosos’, é "," Se Luciana se preparou para o concurso e Rafael não se preparou, então eles precisam ficar nervosos. "," Se Luciana e Rafael precisam ficar nervosos, então eles não se prepararam muito para o concurso. "," Se Luciana e Rafael não precisam ficar nervosos, então eles se prepararam muito para o concurso. "," Se Luciana não se preparou muito e Rafael se preparou muito para o concurso, então Luciana precisa ficar nervosa e Rafael não precisa ficar nervoso. ", Luciana e Rafael se prepararam muito para o concurso e mesmo assim ficaram nervosos. ,/questoes-de-concursos/questoes/e38f4563-40
25, A negação da sentença: Se o projeto de lei não foi analisado pela comissão então a votação ocorrerá após o recesso legislativo é:  ," Se o projeto de lei não foi analisado pela comissão, então a votação não ocorrerá após o recesso legislativo. "," Se o projeto de lei foi analisado pela comissão, então a votação não ocorrerá após o recesso legislativo. ", O projeto de lei foi analisado pela comissão e a votação não ocorrerá após o recesso legislativo. , O projeto de lei não foi analisado pela comissão e a votação não ocorrerá após o recesso legislativo. , O projeto de lei foi analisado pela comissão e a votação ocorrerá após o recesso legislativo ,/questoes-de-concursos/questoes/a4b0a973-3f
26," Todos os funcionários proficientes em espanhol são também proficientes em italiano, mas nenhum funcionário proficiente em italiano é proficiente em francês. Então, deduzimos que: ",Algum funcionário é proficiente em espanhol e francês.,Todos os funcionários são proficientes em espanhol e francês.,Todos os funcionários não são proficientes em francês.,Todos os funcionários são proficientes em italiano. ,Nenhum funcionário é proficiente em francês e espanhol. ,/questoes-de-concursos/questoes/a4aa21db-3f
