,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5," Supondo que é verdadeira a afirmação de que: Se Marcela é pediatra então ela faz plantão no pronto-socorro infantil, é um erro de argumentação afirmar que: ",Se Marcela não é pediatra então ela não faz plantão no pronto-socorro infantil.,Se Marcela não faz plantão no pronto-socorro infantil então ela não é pediatra. ,Marcela não é pediatra ou ela faz plantão no pronto-socorro infantil.,Marcela faz plantão no pronto-socorro infantil ou ela não é pediatra.,Nego que Marcela é pediatra e não faz plantão no pronto-socorro infantil.,/questoes-de-concursos/questoes/d080bf1c-84
6," Se Pedro ou Renato é médico então Pedro tem sala no centro comercial. Sabe-se que Pedro não tem sala no centro comercial. Portanto, deduzimos que: ",Pedro ou Renato não é médico.,Pedro e Renato não são médicos.,Pedro é médico e Renato não é médico.,Pedro não é médico e Renato é médico.,Pedro não é médico ou Renato é médico. ,/questoes-de-concursos/questoes/d07d268f-84
7," A partir das seguintes hipóteses: Se João é intolerante à lactose então ele não bebe leite integral. Mas João não bebe leite de soja, entretanto ele bebe leite integral. Podemos deduzir que é verdadeira a afirmação da alternativa: ",João bebe leite de soja.,João não é intolerante à lactose.,João é intolerante à lactose.,João não bebe leite integral.,João bebe leite integral e de soja.,/questoes-de-concursos/questoes/d079a790-84
8," Supondo que é verdadeira a afirmação de que: Nego que Marcela é pediatra ou oftalmologista, é correto argumentar que: ",Marcela não é pediatra ou não é oftalmologista.,Marcela não é pediatra e não é oftalmologista. ,"Marcela não é pediatra, mas é oftalmologista.","Marcela é pediatra, entretanto não é oftalmologista. ",Marcela é pediatra e oftalmologista.,/questoes-de-concursos/questoes/cfb2d8d9-84
9," Pedro ou Renato é médico. Se Renato é médico então ele não trabalha no ambulatório. Pedro não é médico. Portanto, deduzimos que: ",Renato é médico e não trabalha no ambulatório.,Pedro é médico e não trabalha no ambulatório.,Renato não é médico e não trabalha no ambulatório.,Renato é médico e trabalha no ambulatório.,Pedro é médico e trabalha no ambulatório. ,/questoes-de-concursos/questoes/cfaf1fb2-84
10," Considere as três proposições compostas a seguir: • P1. O juiz de futebol errou a marcação de pênalti e o jogador não fez falta. • P2. Pedro faz exercícios ou faz caminhada. • P3. Se o carro funcionar, então haverá aula prática de direção. Assim, é correto afirmar que ", a negação de P1 é “o juiz de futebol não errou a marcação de pênalti e o jogador não fez falta”. ,a negação de P2 é “Pedro não faz exercícios ou faz caminhada”.," a contrapositiva de P3 é “Se não houver aula prática de direção, então o carro funciona”. ","a recíproca de P3 é “Se houver aula prática de direção, então o carro não funciona”.",a negação de P3 é “O carro funciona e não haverá aula prática de direção”.,/questoes-de-concursos/questoes/c32dd1bd-84
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/22275862-84
12,none,none,none,none,none,none,/questoes-de-concursos/questoes/22244f22-84
13,none,none,none,none,none,none,/questoes-de-concursos/questoes/222011d5-84
14,none,none,none,none,none,none,/questoes-de-concursos/questoes/221a5473-84
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/a9c5d1ae-83
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/a9bc436c-83
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/a9b60f96-83
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/3d6ac638-83
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/3d67786c-83
20, Assinale a alternativa em que figure a negação lógica da frase “Todos vão passar no concurso”. ,Ninguém vai passar. ,Todos são eliminados.,Todos passam em todos os concursos.,Alguém não passa no concurso. ,O concurso não tem vagas.,/questoes-de-concursos/questoes/f13d45f7-83
21, Negar logicamente a proposição composta “x ≠ 2 e x ≠3” é ,“x ≠ 2 e x ≠ 3”.,“x = 2 e x ≠ 3”.,“x ≠ 2 e x = 3”.,“x = 2 e x = 3”.,“x = 2 ou x = 3”.,/questoes-de-concursos/questoes/9035425c-83
22," A negação da proposição “Todo dia é dia”, do ponto de vista lógico, é ",“Não existe dia”.,"“Se é dia, então não é dia”.",“Nenhum dia não é dia”.,“Todo dia é sábado”. ,“Algum dia não é dia”.,/questoes-de-concursos/questoes/902f206e-83
23," Analise as proposições abaixo: I. Sempre existe um relacionamento de intercâmbio entre os indivíduos e a organização. E/OU II. O indivíduo ingressa na organização e nela permanece, quando espera que suas satisfações pessoais sejam maiores que seus esforços pessoais. Assinale a alternativa CORRETA. ","A proposição I é verdadeira, enquanto a II é falsa.","A proposição I é falsa, enquanto a II é verdadeira.","Ambas as proposições I e II são falsas, pois a proposição I vai de oposição à II.","Ambas as proposições I e II são verdadeiras, pois a proposição II complementa a I.","Somente a II é verdadeira, pois a proposição II não complementa a I.",/questoes-de-concursos/questoes/35719b7a-80
24," Em uma cidade, todo cientista é professor, e nenhum professor é atleta. Conclui-se, CORRETAMENTE, que, nessa cidade ", nenhum professor é cientista., nenhum cientista é atleta.,todo professor é cientista. ,todo cientista é atleta.,todo atleta é cientista.,/questoes-de-concursos/questoes/35194459-80
25," Se não é verdade que, se o carro é um Fiesta, então sua cor não é azul, é correto afirmar que  ",o carro é um Fiesta e sua cor é azul.,"ou o carro não é um Fiesta ou sua cor não é azul, nunca ambos. ","se o carro é azul, então ele não é um Fiesta.","ou o carro é um Fiesta ou o carro é azul, nunca ambos. ",o carro não é um Fiesta e sua cor não é azul.,/questoes-de-concursos/questoes/cfba89c2-7e
26," Considere a sentença: “Se João gosta de goiaba, então gosta de abacate.” Uma sentença logicamente equivalente à sentença dada é  ",“João não gosta de goiaba ou gosta de abacate”. ,"“Se João não gosta de goiaba, então não gosta de abacate.” ","“Se João gosta de abacate, então gosta de goiaba.” ",“João gosta de goiaba e não gosta de abacate.” ,“João gosta de goiaba ou gosta de abacate. ,/questoes-de-concursos/questoes/44f62690-7d
