,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5," Na álgebra das proposições lógicas, as regras de DE MORGAN são utilizadas para negar tanto a disjunção quanto a conjunção. Verificar qual das alternativas a seguir, de acordo com DE MORGAN, representa, na forma simbólica, a negação de: “Os homens são de Marte e as mulheres são de Vênus”. ",∼p ∧ ∼q .,p ⟶ q.,p ∨ q., ∼p ⟶ ∼q.,∼p ∨ ∼q.,/questoes-de-concursos/questoes/1c786754-0a
6," Dizer que não é verdade que Francisco é dentista e Tânia é enfermeira, é logicamente equivalente a dizer que é verdade que: ","Se Francisco não é dentista, então Tânia não é enfermeira.",Francisco não é dentista e Tânia não é enfermeira.,"Se Francisco não é dentista, então Tânia é enfermeira.",Francisco não é dentista ou Tânia não é enfermeira.,Francisco é dentista ou Tânia não é enfermeira.,/questoes-de-concursos/questoes/08ae0c0a-06
7," Entre Leonardo, Otávio e Rodrigo, um é maranhense, um mineiro e o outro, carioca. Um deles tem 30 anos, um tem 35 anos, e o terceiro, 40 anos. Sabe-se que: I. O carioca não tem 35 anos. II. Otávio não é maranhense. III. O mineiro tem 30 anos. IV. Rodrigo não tem 30 anos. De acordo com essas informações pode-se afirmar que:  ",o maranhense não tem 35 anos. ,Rodrigo é maranhense e tem 40 anos. ,Rodrigo é carioca e tem 40 anos.,Leonardo é maranhense e tem 40 anos. ,Otávio é carioca e tem 30 anos. ,/questoes-de-concursos/questoes/0895546d-06
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/87f73596-03
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/b4810588-00
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/b478c77e-00
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/b46db711-00
12,none,none,none,none,none,none,/questoes-de-concursos/questoes/b469062b-00
13," Dizer que não é verdade que Francisco é dentista e Tânia é enfermeira, é logicamente equivalente a dizer que é verdade que: ","Se Francisco não é dentista, então Tânia não é enfermeira ","Se Francisco não é dentista, então Tânia é enfermeira ",Francisco é dentista ou Tânia não é enfermeira ,Francisco não é dentista e Tânia não é enfermeira,Francisco não é dentista ou Tânia não é enfermeira ,/questoes-de-concursos/questoes/3c18a3cb-00
14," Dizer que “Alexandre foi aos Lençóis Maranhenses, se e somente se, fez sol” é logicamente equivalente dizer que: ",Ou Alexandre foi aos Lençóis Maranhenses. ou fez sol,"Não fez sol, se e somente se ,Alexandre foi aos Lençóis Maranhenses. ",Se Alexandre foi aos Lençóis Maranhenses então não fez sol. ,Se Alexandre foi aos Lençóis Maranhenses então fez sol.,"Fez sol, se e somente se, Alexandre foi aos Lençóis Maranhenses.",/questoes-de-concursos/questoes/27d86b2b-00
15," Se a cantora Alcione é maranhense, então ela é nordestina com muito orgulho, portanto: ","Se a cantora Alcione é nordestina com muito orgulho, então ela não é maranhense. ","Se a cantora Alcione é nordestina com muito orgulho,orgulho, então ela é maranhense.","Se a cantora Alcione é maranhense ,então ela não é nordestina com muito orgulho. ",Se a cantora Alcione não é maranhense então ela é nordestina com muito orgulho. ,"Se a cantora Alcione não é nordestina com muito orgulho, então ela não é maranhense. ",/questoes-de-concursos/questoes/27c025a1-00
16, A negação de “Orlando fala alemão ou holandês” é:: ,Orlando não fala alemão.,pode ser que Orlando fale alemão e não fale holandês.,pode ser que Orlando fale holandês e não fale alemão.,Orlando não fala alemão nem holandês.,Orlando fala alemão e holandês.,/questoes-de-concursos/questoes/b944eafd-fb
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/2c2ec684-fa
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/5a90664d-f8
19, Em uma empresa todos os funcionários têm mais de 20 anos e nenhum funcionário tem mais de 60 anos. A negação dessa proposição é: ,Pelo menos um funcionário tem menos de 20 anos ou algum funcionário tem mais de 60 anos,Pelo menos um funcionário tem menos de 20 anos e algum funcionário tem mais de 60 anos. ,Nenhum funcionário tem menos de 20 anos ou algum funcionário tem mais de 60 anos.,Nenhum funcionário tem menos de 20 anos e algum funcionário tem mais de 60 anos. ,Nenhum funcionário tem menos de 20 anos ou todo funcionário tem mais de 60 anos.,/questoes-de-concursos/questoes/7d4e1153-f6
20," A negação da proposição “toda nuvem é branca"" é a seguinte:  ",Nenhuma nuvem é branca.,Toda nuvem não é branca.,Alguma nuvem é branca.,Nenhuma nuvem não é branca.,Alguma nuvem não é branca.,/questoes-de-concursos/questoes/08cea4fd-f1
21," A negação da proposição “se choveu, então o voo vai atrasar” pode ser logicamente descrita por ",não choveu e o voo não vai atrasar.,choveu e o voo não vai atrasar.,não choveu ou o voo não vai atrasar,"se não choveu, então o voo não vai atrasar.",choveu ou o voo não vai atrasar.,/questoes-de-concursos/questoes/c90bea01-ef
22," A proposição “se o voo está atrasado, então o aeroporto está fechado para decolagens” é logicamente equivalente à proposição: ",o voo está atrasado e o aeroporto está fechado para decolagens.,o voo não está atrasado e o aeroporto não está fechado para decolagens.,"o voo está atrasado, se e somente se, o aeroporto está fechado para decolagens.","se o voo não está atrasado, então o aeroporto não está fechado para decolagens.",o voo não está atrasado ou o aeroporto está fechado para decolagens.,/questoes-de-concursos/questoes/c080a179-ef
23," A negação de “Se Lúcia vai à feira, então ela compra verduras” é: ","Se Lúcia não vai à feira, então ela não compra verduras.","Se Lúcia compra verduras, então ela não vai à feira.","Se Lúcia não vai à feira, então ela compra verduras.",Lúcia não vai à feira e compra verduras.,Lúcia vai à feira e não compra verduras.,/questoes-de-concursos/questoes/32260d87-eb
