,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5, A negação da proposição “Todo rato raspa o rabo” é ,“nenhum rato raspa o rabo”.,"“se tem rabo raspado, então é rato”. ",“algum rato não raspa o rabo”.,"“se não raspa o rabo, então não é rato”. ",“todo rato tem rabo”. ,/questoes-de-concursos/questoes/15dae1f5-e6
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/b6fd6086-e4
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/62a0f354-e4
8," Se José não bebe, ele visita o irmão. Se José bebe, ele recita versos. Se José não visita o irmão, ele não recita versos. Se José recita versos, ele não visita o irmão. Segue-se, portanto, que José: ","Não bebe, não visita o irmão, recita versos. ","Bebe, visita o irmão, não recita versos. ","Não bebe, visita o irmão, não recita versos.","Não bebe, não visita o irmão, não recita versos."," Bebe, não visita o irmão, recita versos. ",/questoes-de-concursos/questoes/e6a2d289-e3
9,error,Não está fazendo sol e eu não levo o protetor solar. ,"Se não estiver fazendo sol, eu levo o protetor solar.",Não está fazendo sol e eu levo o protetor solar.,Está fazendo sol e eu não levo o protetor solar.,"Se estiver fazendo sol, eu não levo o protetor solar.",/questoes-de-concursos/questoes/e69fb626-e3
10," Se você estudar, então terá êxito na prova. Assim sendo, ","mesmo que estude, você não terá êxito na prova. ",seu estudo é condição suficiente para ter êxito na prova.,"se você não estudar, então não terá êxito na prova.",você terá êxito na prova só se estudar.,seu estudo é condição necessária para ter êxito na prova.,/questoes-de-concursos/questoes/e69c5b89-e3
11," As violetas são mais baratas do que os girassóis. Não tenho dinheiro suficiente para comprar duas dúzias de violetas. Logo, ",Não tenho dinheiro suficiente para comprar uma dúzia de violetas.,Tenho dinheiro suficiente para comprar uma dúzia de violetas.,Não tenho dinheiro suficiente para comprar duas dúzias de girassóis.,Não tenho dinheiro suficiente para comprar meia dúzia de girassóis.,Tenho dinheiro suficiente para comprar uma dúzia de girassóis.,/questoes-de-concursos/questoes/e6902568-e3
12," Seja a sentença “Se Lúcia é médica, então Lucas é professor”, assinale a afirmativa que apresenta a sentença equivalente à sentença inicial.  ","Se Lucas é professor, então Lúcia é médica.","Se Lúcia é professora, então Lucas é médico"," Se Lucas não é professor, então Lúcia não é médica.","Se Lúcia não é médica, então Lucas não é professor.","Se Lúcia não é professora, então Lucas é médico.",/questoes-de-concursos/questoes/806e36e6-e3
13,none,none,none,none,none,none,/questoes-de-concursos/questoes/dd8e80f4-e2
14,none,none,none,none,none,none,/questoes-de-concursos/questoes/dd8b4272-e2
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/dd807202-e2
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/c8de0251-e1
17," Considere verdadeira a afirmação I e falsa a afirmação II: I. Carlos é técnico em análises clínicas. II. Ana é técnica em análises clínicas. Com base nas informações apresentadas, assinale a alternativa que contém uma afirmação verdadeira. ","Se Carlos é técnico em análises clínicas, então Ana é técnica em análises clínicas.",Carlos não é técnico em análises clínicas e Ana não é técnica em análises clínicas.," Se Ana não é técnica em análises clínicas, então Carlos não é técnico em análises clínicas. ",Carlos e Ana são técnicos em análises clínicas.,"Se Ana é técnica em análises clínicas, então Carlos é técnico em análises clínicas.",/questoes-de-concursos/questoes/8aa636ce-e0
18, Considere a seguinte afirmação: O técnico em análises clínicas realiza testes laboratoriais e faz análises microscópicas. Uma negação lógica para a afirmação apresentada está contida na alternativa: , O técnico em análises clínicas não realiza testes laboratoriais e não faz análises microscópicas. , O técnico em análises clínicas não realiza testes laboratoriais ou não faz análises microscópicas. ," O técnico em análises clínicas não realiza testes laboratoriais, mas faz análises microscópicas. ", Quem realiza testes laboratoriais e faz análises microscópicas não é técnico em análises clínicas. , Quem não realiza testes laboratoriais e não faz análises microscópicas é técnico em análises clínicas. ,/questoes-de-concursos/questoes/8aa2e2d0-e0
19, Assinale a alternativa que apresenta a negação da proposição: “Ana é casada e Junior não é solteiro”. ,“Ana é casada e Junior é solteiro”.,“Ana é casada se Junior é solteiro”.,“Ana não é casada e Junior é solteiro”.,"“Ana não é casada se, e somente se, Junior é solteiro”.",“Ana não é casada ou Junior é solteiro”.,/questoes-de-concursos/questoes/bdff52e5-dd
20, Qual é a negação da frase “Nenhum homem é alto”? ,“Existe homem alto”.,“Todo homem é alto”.,“Nenhum homem é baixo”.,“Todo homem é baixo”.,“Não existe homem alto”.,/questoes-de-concursos/questoes/a3473801-dd
21, Dizer que não é verdade que “Carlos tem um gato e Carmem não tem um cachorro” é logicamente equivalente a dizer que é verdade que , “Carlos não tem um gato e Carmem tem um cachorro.” , “Carlos tem um gato ou Carmem tem um cachorro.” , “Carlos não tem um gato ou Carmem tem um cachorro.” , “Carlos tem um gato se Carmem tem um cachorro.” ," “Carlos não tem um gato se, e somente se, Carmem tem um cachorro.” ",/questoes-de-concursos/questoes/12555983-dd
22, Considere as proposições: I- 3 . 4! = 12! II- 7! + 13! = 21! III- (4!)² = (4²)! IV-  = 290Está(ão) correta(s) à(s) proposição(ões): ,"Apenas I, II e IV",Apenas I e II,Apenas IV,Apenas II,Todas as proposições estão incorretas,/questoes-de-concursos/questoes/57e39b4e-dd
23, Assinale a alternativa correta a respeito de proposições lógicas compostas. ," Se (p) é condição necessária, mas não suficiente para (q), então (q) → (p). "," Uma proposição condicional tem valor falso se ambos, antecedente e consequente, forem falsos. "," Para que a conjunção entre (p) e (q) tenha valor verdadeiro, basta que uma das proposições tenha valor verdadeiro. "," Se (p) e (q) forem proposições lógicas com valor falso, então a bicondicional entre (p) e (q) é falsa. ", A negação da conjunção entre duas proposições lógicas (p) e (q) é a conjunção da negação de (p) e da negação de (q). ,/questoes-de-concursos/questoes/9a79ba06-dc
