,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,none,none,none,none,none,none,/questoes-de-concursos/questoes/150e0b51-f5
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/12bf60b5-f5
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/f558ff76-f2
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/db815c28-f1
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/d856ca69-f1
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/f3f2e651-ef
11,none,none,none,none,none,none,/questoes-de-concursos/questoes/c26a28ae-ec
12, Os casacos de inverno são confeccionados com cores escuras ou são feitos com peles de animais.A negação dessa afirmação é: ,os casacos de inverno são confeccionados com cores escuras ou não são feitos com peles de animais. ,os casacos de inverno não são confeccionados com cores escuras e não são feitos com peles de animais. ,os casacos de inverno não são confeccionados com cores escuras ou não são feitos com peles de animais. ,os casacos de inverno são confeccionados com cores escuras e não são feitos com peles de animais. ,os casacos de inverno não são confeccionados com cores escuras e são feitos com peles de animais. ,/questoes-de-concursos/questoes/b7899a01-e1
13," Se uma pessoa corre e escorrega, então ela não ganha velocidade. A afirmação que corresponde à negação dessa afirmação é: "," uma pessoa corre e escorrega, e ela ganha velocidade. ","se uma pessoa não corre e não escorrega, então ela ganha velocidade. ",uma pessoa ganha velocidade se ela escorrega. ,uma pessoa não ganha velocidade se ela não escorrega e corre. ,"se uma pessoa corre ou escorrega, então ela não ganha velocidade. ",/questoes-de-concursos/questoes/a5eafde2-e1
14," Dizer - ""Se você não olha nos meus olhos, então eu não me sinto um ser humano."" - é o mesmo que dizer: ",sinto-me um ser humano ao olhar nos seus olhos. ,"se me sinto um ser humano, então você olha nos meus olhos. ","se você olha nos meus olhos, então eu fico feliz. ",o olhar e o sentir são a mesma coisa. ,eu olho nos seus olhos e você se sente um ser humano. ,/questoes-de-concursos/questoes/a1026f07-e1
15," Seja D um conjunto de pontos da reta. Sejam K, F e L categorias possíveis para classificar D. Uma expressão que equivale logicamente à afirmação “D é K se e somente se D é F e D é L” é: ","Se D é F ou D é L, então D é K e, se D não é K, então D não é F e D não é L.  ","Se D é F e D é L, então D é K e, se D não é K, então D não é F ou D não é L. ",D não é F e D não é L se e somente se D não é K. ,"Se D é K, então D é F e D é L e, se D não é K, então D não é F ou D não é L.  ",D é K se e somente se D é F ou D é L. ,/questoes-de-concursos/questoes/69094087-dd
16, Considere a afirmação: “Isabel não almoçou e foi ao dentista”.A negação dessa afirmação é: , Isabel almoçou e não foi ao dentista , Isabel almoçou ou não foi ao dentista , Isabel não almoçou e não foi ao dentista , Isabel não almoçou ou não foi ao dentista , Isabel foi ao dentista ou não almoçou ,/questoes-de-concursos/questoes/2442099d-c0
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/3337e617-b7
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/319871f4-b7
19, Todo policial civil é bacharel em direito. A negação dessa afirmação é:  , Todos os policiais civis devem ser bacharéis em direito. , Todos os policiais civis não são bacharéis em direito. , Nenhum policial civil é bacharel em direito , Existe policial civil que não é bacharel em direito ,-Não existe policial civil que não seja bacharel em direito. ,/questoes-de-concursos/questoes/f343f5ef-a9
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/94c2e4a2-a1
21,none,none,none,none,none,none,/questoes-de-concursos/questoes/772aa29e-8a
22,none,none,none,none,none,none,/questoes-de-concursos/questoes/832fa4ec-89
23,none,none,none,none,none,none,/questoes-de-concursos/questoes/810aae55-89
24,none,none,none,none,none,none,/questoes-de-concursos/questoes/7df360b6-89
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/79a7b4e0-89
26, A negação da proposição “Todo candidato estudioso passará no concurso e será um bom profissional” é  ,Todo candidato estudioso passará no concurso e não será um bom profissional. ,Algum candidato estudioso não passará no concurso ou será um bom profissional. ,Todo candidato estudioso não passará no concurso e não será um bom profissional. ,Existe candidato estudioso que não passará no concurso ou não será um bom profissional. ,Existe candidato estudioso que não passará no concurso e não será um bom profissional. ,/questoes-de-concursos/questoes/855759ed-16
27," Considere a proposição “Se as plantas são regadas, então elas não morrem”. Uma proposição equivalente a essa é  ","Se as plantas morrem, então elas não são regadas. ","Se as plantas não são regadas, então elas morrem. ","Se as plantas não morrem, então elas são regadas. ",As plantas não morrem e elas são regadas. ,As plantas morrem ou elas são regadas. ,/questoes-de-concursos/questoes/829d149d-16
28,none,none,none,none,none,none,/questoes-de-concursos/questoes/84e60e30-05
29,none,none,none,none,none,none,/questoes-de-concursos/questoes/06835326-05
30,none,none,none,none,none,none,/questoes-de-concursos/questoes/03f0cff9-05
31," A proposição “se o freio da bicicleta falhou, então não houve manutenção"" é equivalente à proposição ",o freio da bicicleta falhou e não houve manutenção.,o freio da bicicleta falhou ou não houve manutenção,o freio da bicicleta não falhou ou não houve manutenção.,"se não houve manutenção, então o freio da bicicleta falhou.","se não houve manutenção, então o freio da bicicleta não falhou.",/questoes-de-concursos/questoes/dd2cfd9f-fe
32,none,none,none,none,none,none,/questoes-de-concursos/questoes/8abf133a-fc
33, Dizer que “João não estudou ou Pedro nadou” é do ponto de vista lógico o mesmo que dizer  ,"Se João estudou, então Pedro nadou. "," Se Pedro nadou, então João estudou. "," Se João não estudou, então Pedro nadou. "," Se João estudou, então Pedro não nadou. "," Se João não estudou, então Pedro não nadou. ",/questoes-de-concursos/questoes/744ce5e1-f4
34,none,none,none,none,none,none,/questoes-de-concursos/questoes/cad25869-f3
35,none,none,none,none,none,none,/questoes-de-concursos/questoes/8a7ea307-f2
