,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5, A negação da seguinte proposição composta: “Se estudo atentamente então serei nomeado em concurso público” é: ,"Se não estudo atentamente, então não serei nomeado em concurso público. ",Estudo atentamente e não serei nomeado em concurso público.,"Se não serei nomeado em concurso público, então não estudo atentamente.",Estudo atentamente ou serei nomeado em concurso público. ,"Não estudo atentamente se, somente se não serei nomeado em concurso público.",/questoes-de-concursos/questoes/5bdc4e70-97
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/e0c207a5-91
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/cade5b43-90
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/2936086e-8e
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/29219e23-8e
10, A negação da sentença “Se Roberto trabalhou hoje então Isadora ficou em casa” é ,“Se Roberto não trabalhou hoje então Isadora não ficará em casa”.,“Roberto trabalhou hoje e Isadora não ficou em casa”.,“Se Roberto trabalhou hoje então Isadora não ficará em casa”.,“Roberto não trabalhou hoje e Isadora ficou em casa”.,“Roberto não trabalhou hoje e Isadora não ficou em casa”.,/questoes-de-concursos/questoes/9bd0e579-8a
11, A negação da proposição composta “Otávio joga futebol e Ana anda de bicicleta” é ,Otávio anda de bicicleta e Ana joga futebol.,"Otávio joga futebol se, somente se Ana anda de bicicleta.",Ana não joga futebol e Otávio não anda de bicicleta. ,Otávio não joga futebol e Ana anda de bicicleta.,Otávio não joga futebol ou Ana não anda de bicicleta.,/questoes-de-concursos/questoes/29fa772f-88
12, A negação da seguinte proposição composta: “Se estudo atentamente então serei nomeado em concurso público” é: ,"Se não estudo atentamente, então não serei nomeado em concurso público.",Estudo atentamente e não serei nomeado em concurso público.,"Se não serei nomeado em concurso público, então não estudo atentamente.",Estudo atentamente ou serei nomeado em concurso público.,"Não estudo atentamente se, somente se não serei nomeado em concurso público.",/questoes-de-concursos/questoes/026407ce-87
13,error," A proposição e a razão são verdadeiras, mas a razão não justifica a proposição. ","A proposição é verdadeira, mas a razão é falsa. ","A proposição é falsa, mas a razão é verdadeira.",A proposição e a razão são falsas., A proposição e a razão são verdadeiras e a razão justifica a proposição. ,/questoes-de-concursos/questoes/301df880-84
14,none,none,none,none,none,none,/questoes-de-concursos/questoes/7b7ff432-83
15,none,none,none,none,none,none,/questoes-de-concursos/questoes/7b7d2fd1-83
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/7b7a2af7-83
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/9f034384-81
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/9effa766-81
19, A negação da sentença: Pelo menos um morador do condomínio não participou da assembleia ordinária é equivalente à sentença: ,Algum morador do condomínio participou da assembleia ordinária. ,Todos moradores do condomínio não participaram da assembleia ordinária. ,Todos moradores do condomínio participaram da assembleia ordinária.,Nenhum morador do condomínio participou da assembleia ordinária.,Nem todos os moradores do condomínio não participaram da assembleia ordinária.,/questoes-de-concursos/questoes/850ae282-80
20,error, Pedro é vereador. , Pedro é vereador e assinou o contrato. , Pedro é vereador e não assinou o contrato. , Pedro não é vereador e assinou o contrato. , Pedro não é vereador e não assinou o contrato. ,/questoes-de-concursos/questoes/85071483-80
21," Analise as quatro afirmações abaixo, sabendo que a primeira delas é FALSA e as demais são VERDADEIRAS, e assinale a alternativa correta. • Cláudio é jogador ou Márcia não é psiquiatra. • Se Marcelo é bancário, então Cláudio não é jogador.•Ou Paulo é médico, ou Márcia é psiquiatra, mas não ambos.• Cláudio é jogador ou Fábio é engenheiro. ",Fábio não é engenheiro ou Márcia não é psiquiatra. ,Marcelo é bancário ou Fábio é engenheiro.,Márcia é psiquiatra e Marcelo não é bancário. ,Paulo é médico e Fábio não é engenheiro. ,"Se Cláudio não é jogador, então Paulo é médico.",/questoes-de-concursos/questoes/0ff18a33-80
22, Classifique cada uma das afirmativas a seguir como verdadeira (V) ou falsa (F). ( ) As proposições (p→q)→r e (p˄~r)→q são equivalentes. ( ) A negação disjunta de duas proposições é comutativa. ( ) A negação conjunta de duas proposições é comutativa. ( ) A disjunção exclusiva de duas proposições p e q é equivalente à disjunção das proposições (p˅q) e ~(p˄q). Marque a alternativa que contém a sequência CORRETA de preenchimento dos parênteses. ,"V, V, F e V. ","V, V, V e F. ","V, F, V e V. ","F, V, V e V. ","F, V, V e F. ",/questoes-de-concursos/questoes/0a874a04-76
23, Proposições que possuem a mesma tabela-verdade são chamadas de proposições logicamente equivalentes (ou simplesmente equivalentes). Qual das alternativas abaixo é uma equivalência lógica da proposição P→(~P˄ ~Q)? ,Q ,P ,~Q ,~P,P˅~Q,/questoes-de-concursos/questoes/0a776f50-76
24," Abaixo, apresentam-se duas proposições verdadeiras seguidas de duas conclusões numeradas. Proposições: “Todo leão é um mamífero.” “Alguns mamíferos são terrestres.” Conclusões: I- Todo leão é terrestre. II- Alguns terrestres são mamíferos. Assinale a alternativa CORRETA, que confirme relação lógica entre as proposições dadas e as respectivas conclusões. ",Nenhuma conclusão segue logicamente das proposições acima.,Somente a conclusão I segue logicamente das proposições acima.,Apenas a conclusão II segue logicamente das proposições acima.,As conclusões I e II seguem logicamente das proposições acima.,É impossível determinar quais conclusões seguem logicamente das proposições acima. ,/questoes-de-concursos/questoes/aeed5b35-76
25," Severino, Antônio e Júlio são engenheiros de uma empresa. Atente às afirmações e responda o que se pede. • Severino não é o que trabalha há mais tempo na empresa. • Severino trabalha nessa empresa há mais tempo do que Júlio. Se as afirmações são verdadeiras, qual deles trabalha há menos tempo na empresa? ",Severino. ,Júlio. ,Antônio.,Severino e Júlio.,Não é possível determinar quem trabalha há menos tempo na empresa.,/questoes-de-concursos/questoes/aee71556-76
