,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5," A negação de “Andréa passou no concurso e se casou com Osvaldo”, é: ",Andréa não passou no concurso e não se casou com Osvaldo.,Andréa não passou no concurso e se casou com Osvaldo.,Andréa não passou no concurso ou não se casou com Osvaldo.,Andréa não passou no concurso e não se casou.,"Andréa passou no concurso, mas não se casou com Osvaldo.",/questoes-de-concursos/questoes/9634151f-4b
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/7d0628eb-49
7,none,none,none,none,none,none,/questoes-de-concursos/questoes/7d030eaa-49
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/7cfe6b90-49
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/7cfb0619-49
10, Negar que Marcos foi andar se e somente se Ana estava dormindo equivale a dizer que: ,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo.,Marcos não foi andar e Ana não estava dormindo.,Marcos estava dormindo e Ana estava andando.,/questoes-de-concursos/questoes/36b3fa81-48
11, Negar que Marcos foi andar se e somente se Ana estava dormindo equivale a dizer que: ,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo,Marcos não foi andar e Ana não estava dormindo.,Marcos estava dormindo e Ana estava andando.,/questoes-de-concursos/questoes/21bb3cdd-48
12, Negar que Marcos foi andar se e somente se Ana estava dormindo equivale a dizer que: ,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo.,Marcos não foi andar e Ana não estava dormindo.,Marcos estava dormindo e Ana estava andando.,/questoes-de-concursos/questoes/133fbf63-48
13, Negar que Marcos foi andar se e somente se Ana estava dormindo equivale a dizer que: ,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo.,Marcos não foi andar e Ana não estava dormindo.,Marcos estava dormindo e Ana estava andando.,/questoes-de-concursos/questoes/0af30318-48
14, Negar que Marcos foi andar se e somente se Ana estava dormindo equivale a dizer que: ,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo.,Marcos não foi andar e Ana não estava dormindo.,Marcos estava dormindo e Ana estava andando.,/questoes-de-concursos/questoes/fa507d85-48
15, Negar que Marcos foi andar se e somente se Ana estava dormindo equivale a dizer que: ,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo.,Marcos não foi andar e Ana não estava dormindo.,Marcos estava dormindo e Ana estava andando.,/questoes-de-concursos/questoes/e4077f2c-48
16, Negar que Marcos foi andar se e somente se Ana estava dormindo equivale a dizer que: ,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo.,Marcos não foi andar e Ana não estava dormindo., Marcos estava dormindo e Ana estava andando.  ,/questoes-de-concursos/questoes/d43383e1-48
17, Assinale a alternativa que apresenta a negação da proposição “Lucas gosta de torta ou José gosta de refrigerante”. ,“Lucas gosta de torta ou José não gosta de torta”.,“Lucas gosta de torta se José não gostar de refrigerante”.,“Lucas não gosta de torta ou José não gosta de refrigerante”.,"""Lucas não gosta de torta se, e somente se, José não gosta de refrigerante”.",“Lucas não gosta de torta e José não gosta de refrigerante”.,/questoes-de-concursos/questoes/8f42319f-48
18,error,Marcos foi andar se e somente se Ana não estava dormindo.,Marcos foi andar e Ana estava dormindo.,ou Marcos foi andar ou Ana estava dormindo.,Marcos não foi andar e Ana não estava dormindo.,Marcos estava dormindo e Ana estava andando.,/questoes-de-concursos/questoes/955a7c31-47
19," A negação da proposição composta “se bebo bastante água, então não fico desidratado”, é: ",Bebo bastante água e não fico desidratado.,"Se não bebo bastante água, então fico desidratado.",Bebo bastante água e fico desidratado.,"Se fico desidratado, então não bebo bastante água.", Bebo bastante água ou não fico desidratado.,/questoes-de-concursos/questoes/3bfc454d-47
20," Dentre as proposições compostas a seguir, a que representa a negação da sentença “Mário é contador ou Sílvio não é enfermeiro”, é: ",Mário não é contador ou Sílvio é enfermeiro.,Mário não é contador e Sílvio é enfermeiro.,Mário é contador e Sílvio é enfermeiro.," Se Mário é contador, então Sílvio não é enfermeiro.",Sílvio é enfermeiro ou Mário é contador. ,/questoes-de-concursos/questoes/3be6d3d7-47
21," A negação de ""Aline ou Paula vão ao Pão de Açúcar e Maria vai ao Cristo Redentor"" é: ",Aline ou Paula não vão ao Pão de Açúcar e Maria não vai ao Cristo Redentor.,Aline e Paula não vão ao Pão de Açúcar ou Maria não vai ao Cristo Redentor.,Aline e Paula não vão ao Pão de Açúcar e Maria vai ao Cristo Redentor.,Aline ou Paula vão ao Pão de Açúcar ou Maria não vai ao Cristo Redentor.,Aline e Paula não vão ao Pão de Açúcar ou Maria vai ao Cristo Redentor.,/questoes-de-concursos/questoes/84b52c48-47
22," Dizer que ""Inácio Rios não é sambista ou Mônica Mac não é cantora"" é do ponto de vista lógico, o mesmo que dizer que: ","se Inácio Rios é sambista, então Mônica Mac é cantora.","se Inácio Rios é sambista, então Mônica Mac não é cantora.","se Mônica Mac é cantora, então Inácio Rios é sambista.","se Inácio Rios não é sambista, então Mônica Mac não é cantora.","se Inácio Rios não é sambista, então Mônica Mac é cantora.",/questoes-de-concursos/questoes/84ad8dfb-47
