,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5,error,nenhum auditor que apreende mercadorias irregulares também fiscaliza a contabilidade de empresas.,todo auditor que faz o controle aduaneiro também apreende mercadorias irregulares. , todo auditor que presta orientações sobre a legislação tributária também fiscaliza a contabilidade de empresas. , pelo menos um auditor que apreende mercadorias irregulares também instaura processos administrativos-fiscais. , pelo menos um auditor que fiscaliza a contabilidade de empresas também instaura processos administrativos-fiscais. ,/questoes-de-concursos/questoes/20beec9f-11
6,error,João foi ao cinema. ,João não foi ao cinema.,João foi ao cinema e João comprou o chocolate.,João comprou o chocolate no shopping. ,João foi ao cinema ou João comprou o chocolate. ,/questoes-de-concursos/questoes/88f41886-11
7," Um motorista dirige um ônibus entre a cidade A e a cidade B, distantes 300 km. Invariavelmente sai na segunda-feira de A às 7 horas e chega na cidade B às 12 horas. Na terça-feira, sai da cidade B às 7 horas e chega na cidade A às 12 horas. É correto afirmar que ",o motorista trafegou pelo menos quatro horas com velocidade superior a 80 km/h. ,o motorista trafegou sempre abaixo de 60 km/h., existiu um mesmo horário entre as 7 e as 12 horas na segunda e na terça-feira em que o veículo esteve na mesma posição na ida de A para B e na vinda de B para A. , é improvável que tenha havido um mesmo horário entre as 7 e as 12 horas na segunda e na terça-feira em que o veículo esteve na mesma posição na ida de A para B e na vinda de B para A. ,o motorista parou durante o trajeto tanto na segunda-feira como na terça-feira. ,/questoes-de-concursos/questoes/e53206dd-11
8,none,none,none,none,none,none,/questoes-de-concursos/questoes/5af34b68-10
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/e99d4fce-0f
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/4fe6ca49-0f
11," Dadas as sentenças: I. Hoje choveu em Porto Alegre-RS. II. Quando chegam visitas na minha casa, todos Os cachorros latem. Ill. Vire à esquerda e siga em frente. IV. Que dia lindo! V. Quando será a próxima prova de Raciocínio Lógico? É correto afirmar que: ",A sentença I é uma proposição lógica ou fechada.,A sentença II é uma proposição condicional.,A sentença Ill é uma proposição conjuntiva. ,A sentença IV é uma proposição exclamativa.,A sentença V é uma proposição interrogativa.,/questoes-de-concursos/questoes/4f3dcc40-0d
12,error,Pedro é contador e casado com Vera.,Antônio é arquiteto e casado com Ana.,Sandro é enfermeiro e casado com Ana.,Pedro é arquiteto e casado com Cristina.,Sandro é contador e casado com Cristina.,/questoes-de-concursos/questoes/3cc38b36-0c
13,none,none,none,none,none,none,/questoes-de-concursos/questoes/353dc64b-0c
14,error,João foi ao cinema. ,João não foi ao cinema. ,João foi ao cinema e João comprou o chocolate.,João comprou o chocolate no shopping. ,João foi ao cinema ou João comprou o chocolate.,/questoes-de-concursos/questoes/345e9e0e-0b
15," Dadas as sentenças: I. Hoje choveu em Porto Alegre-RS. Il. Quando chegam visitas na minha casa, todos os cachorros latem. Ill. Vire à esquerda e siga em frente. IV. Que dia lindo! V. Quando será a próxima prova de Raciocínio Lógico? É correto afirmar que: ",A sentença é uma proposição lógica ou fechada.,A sentença Il é uma proposição condicional.,A sentença Ill é uma proposição conjuntiva.,A sentença IV é uma proposição exclamativa.,A sentença V é uma proposição interrogativa. ,/questoes-de-concursos/questoes/84e930e9-0b
16,none,none,none,none,none,none,/questoes-de-concursos/questoes/14f00cfc-07
17,none,none,none,none,none,none,/questoes-de-concursos/questoes/9a7d733e-07
18,none,none,none,none,none,none,/questoes-de-concursos/questoes/9a760aa6-07
19,none,none,none,none,none,none,/questoes-de-concursos/questoes/9a6c147d-07
20,none,none,none,none,none,none,/questoes-de-concursos/questoes/728a311d-05
21,error,João foi ao cinema.,João não foi ao cinema. ,João foi ao cinema e João comprou o chocolate. ,João comprou o chocolate no shopping. ,João foi ao cinema ou João comprou o chocolate. ,/questoes-de-concursos/questoes/c0080d78-04
22," Um dos amigos é surfista, o segundo pratica futevôlei, e o terceiro joga tênis. Eles se inscreveram no concurso da prefeitura para cargos diferentes, que são: Técnico em Logística, Técnico em Turismo e Técnico Ambiental, não necessariamente na mesma ordem dos esportes praticados. Sem estabelecer qualquer ordem, seus nomes são: Daniel, Francisco e Guilherme. Há as informações de que Francisco é surfista, de que o candidato a Técnico em Logística joga tênis e de que Guilherme é o candidato a Técnico em Turismo. Com essas informações, é correto concluir que ","Guilherme pratica futevôlei, e Francisco é candidato a Técnico Ambiental.","Daniel pratica futevôlei, e Francisco é candidato a Técnico Ambiental.","Guilherme joga tênis, e Daniel é candidato a Técnico em Logística.","Guilherme pratica futevôlei, e Francisco é candidato a Técnico em Logística.","Guilherme joga tênis, e Daniel é candidato a Técnico Ambiental.",/questoes-de-concursos/questoes/96ecc5a0-04
23,error,Juliana não fez a lição de casa ou Fernando praticou natação.,"Tiago foi à escola, e Marcos não estava doente.",Ou Denise não ficou dormindo ou Fernando não praticou natação.,Juliana fez a lição de casa ou Denise ficou dormindo.,"Se Tiago foi à escola, então Caio foi trabalhar.",/questoes-de-concursos/questoes/96e9b6a2-04
24,none,none,none,none,none,none,/questoes-de-concursos/questoes/cabe20c1-04
25,none,none,none,none,none,none,/questoes-de-concursos/questoes/436fc0d2-03
26,error, Bruno e Gabriel estão falando a verdade. , O prof. Renato não possui informação suficiente para determinar quem é o sabotador. , Bruno ou Everton estão mentindo. , Bruno e Everton estão mentindo. , Gabriel é o sabotador. ,/questoes-de-concursos/questoes/debf3c58-03
27,none,none,none,none,none,none,/questoes-de-concursos/questoes/54463a6b-02
