,descricao,a,b,c,d,e,src
0,none,none,none,none,none,none,/questoes-de-concursos/questoes/af72bd38-3a
1,none,none,none,none,none,none,/questoes-de-concursos/questoes/af6677fa-3a
2,none,none,none,none,none,none,/questoes-de-concursos/questoes/af62f109-3a
3,none,none,none,none,none,none,/questoes-de-concursos/questoes/af5a8ae3-3a
4, Considere a sentença: “Paulo é torcedor do Nacional ou Débora não é torcedora do Fast”. A negação lógica dessa sentença é ,Paulo não é torcedor do Nacional ou Débora não é torcedora do Fast. ,Paulo não é torcedor do Nacional ou Débora é torcedora do Fast., Paulo não é torcedor do Nacional e Débora não é torcedora do Fast.,Paulo não é torcedor do Nacional e Débora é torcedora do Fast.,Paulo é torcedor do Nacional ou Débora é torcedora do Fast.,/questoes-de-concursos/questoes/97095657-34
5, Negar logicamente a proposição “Todo homem é rico” é dizer que ,“todo homem é pobre”.,“algum homem não é rico”.,“quem é homem é rico”.,“não existe homem rico”.,“não existe homem pobre”.,/questoes-de-concursos/questoes/9b003a5d-ac
6,none,none,none,none,none,none,/questoes-de-concursos/questoes/f3772da0-ab
7, A negação de “Alberto gosta de futebol ou Bianca é morena” é: ,Se Alberto gosta de futebol então Bianca é morena.,Alberto gosta de futebol se e somente se Bianca é morena.,Alberto não gosta de futebol e Bianca não é morena.,Alberto não gosta de futebol ou Bianca não é morena.,Alberto gosta de futebol e Bianca é morena.,/questoes-de-concursos/questoes/9159645c-aa
8," Se a conexão com a internet cai, então não há possibilidade de comunicação. Uma afirmação que corresponde à negação lógica da afirmação anterior é: "," Se a conexão com a internet não cai, então há possibilidade de comunicação. ", Não há possibilidade de comunicação ou a conexão com a internet cai. , A conexão da internet cai e há possibilidade de comunicação. ," Se há possibilidade de comunicação, então a conexão com a internet não cai. "," Ou a conexão com a internet cai, ou não há possibilidade de comunicação. ",/questoes-de-concursos/questoes/a4cc1fd8-a8
9,none,none,none,none,none,none,/questoes-de-concursos/questoes/c357fed7-a7
10,none,none,none,none,none,none,/questoes-de-concursos/questoes/c354ed4e-a7
11," Considere a seguinte proposição: Se João estuda, então Marcela chora. A negação dessa proposição é logicamente equivalente a: ",Se João não estuda então Marcela não chora.,João não estuda ou Marcela não chora.,João não estuda e Marcela não chora. , João estuda e Marcela não chora.,João estuda ou Marcela não chora.,/questoes-de-concursos/questoes/3521215f-a7
12, Assinale a alternativa que indica a negação da proposição “Não é verdade que o irmão de Pedro é carioca ou que a irmã é paulista”. , O irmão de Pedro não é carioca ou a irmã não é paulista. ,O irmão de Pedro é carioca e a irmã não é paulista. ,O irmão de Pedro é mineiro e a irmã é goiana. ,O irmão de Pedro não é carioca e a irmã é paulista. ,O irmão de Pedro não é carioca e a irmã não é paulista.,/questoes-de-concursos/questoes/57f13381-a6
13, Assinale a alternativa que apresenta a negação da proposição “Pedro é advogado e estuda”.  ,Pedro não é advogado ou não estuda. ,Pedro não é advogado e não estuda.,Pedro é médico e não trabalha.,Pedro não é advogado e estuda.,Pedro é advogado e não estuda.,/questoes-de-concursos/questoes/57ee0aa9-a6
14," Considerando duas proposições simples, p e q, a proposição ~ p  p é equivalente a ",error,p.,~ q.,q.,p ∧ q.,/questoes-de-concursos/questoes/57eac634-a6
15, A proposição  é equivalente a ,,,,,,/questoes-de-concursos/questoes/3c0a2f0c-a5
16, Assinale a alternativa que representa a negação da proposição “ Todo homem joga futebol”. ,“Toda mulher joga futebol”.,“Nenhum homem joga futebol”,“Algum homem não joga futebol”.,“Todo homem joga vôlei”.,“Nem toda mulher joga futebol”.,/questoes-de-concursos/questoes/3bebef39-a5
17, Considere a proposição: “Júlio tem um celular ou Rafaela tem um computador” e assinale a alternativa que apresenta a negação dessa proposição.  ,"“Júlio não tem um celular se, e somente se, Rafaela não tem um computador”.",“Júlio tem um celular se Rafaela não tiver um computador”.,“Júlio não tem um celular ou Rafaela não tem um computador”.,“Júlio tem um celular ou Rafaela não tem um computador”.,“Júlio não tem um celular e Rafaela não tem um computador”.,/questoes-de-concursos/questoes/77c54dfe-a2
18, Qual é a negação da frase “Todas as pessoas gostam de assistir televisão”? ,Existem pessoas que não gostam de assistir televisão.,Existe apenas uma pessoa que não gosta de assistir televisão.,Existe apenas uma pessoa que gosta de assistir televisão.,Nenhuma pessoa gosta de assistir televisão.,Nenhuma pessoa assiste televisão.,/questoes-de-concursos/questoes/31b00231-a2
19, A negação de “Todos os alunos vão gabaritar a prova de matemática” é ,“Todos os alunos não vão gabaritar a prova de matemática”.,“Nenhum aluno vai gabaritar a prova de matemática”.,“Existe apenas um aluno que não vai gabaritar a prova de matemática”.,“Existe apenas um aluno que vai gabaritar a prova de matemática”.,“Existem alunos que não vão gabaritar a prova de matemática”.,/questoes-de-concursos/questoes/a2825658-a1
20, Assinale a alternativa que apresenta a negação da seguinte proposição:   “Lucas é namorado de Maria e José é marido de Lúcia”. ,“Lucas não é o namorado de Maria e José não é o marido de Lúcia”.,“Lucas é o namorado de Maria ou José não é o marido de Lúcia”.,“Lucas não é o namorado de Maria ou José não é o marido de Lúcia”.,“Lucas é o namorado de Maria se José não for o marido de Lúcia”.,"“Lucas não é o namorado de Maria se, e somente se, José não for o marido de Lúcia”.",/questoes-de-concursos/questoes/1d2e5722-9f
21, A negação da proposição “João é arquiteto e Antônio é médico” é ,João não é arquiteto e Antônio é médico.,João é arquiteto e Antônio não é médico. ,João não é arquiteto e Antônio não é médico.,João não é arquiteto ou Antônio não é médico. ,João é arquiteto ou Antônio é médico. ,/questoes-de-concursos/questoes/36a2733c-9d
22," Dada a proposição: “Pedro é professor de Matemática e Clara não é professora de Artes”, a negação desta proposição é: ",Pedro é professor de Matemática ou Clara não é professora de Artes. , Pedro não é professor de Matemática ou Clara é professora de Artes. ,Se Pedro não é professor de Matemática então Clara é professora de Artes. ,Se Clara não é professora de Artes então Pedro é professor de Matemática. ,"Pedro não é professor de Matemática se, e somente se, Clara é professora de Artes. ",/questoes-de-concursos/questoes/271ee195-9c
23,none,none,none,none,none,none,/questoes-de-concursos/questoes/2126bb3e-96
24," Dizer que “Alexandre foi aos Lençóis Maranhenses, se e somente se, fez sol” é logicamente equivalente dizer que: ","Não fez sol, se e somente se, Alexandre foi aos Lençóis Maranhenses.","Se Alexandre foi aos Lençóis Maranhenses, então fez sol. ","Se Alexandre foi aos Lençóis Maranhenses, então não fez sol.","Fez sol, se e somente se, Alexandre foi aos Lençóis Maranhenses. ",Ou Alexandre foi aos Lençóis Maranhenses ou fez sol.,/questoes-de-concursos/questoes/d029263b-8f
